"replication","closing_queue","collapsed","probability"
1,0,FALSE,0
2,0,FALSE,0
3,0.723684684075139,FALSE,0
4,0,FALSE,0
5,0,FALSE,0
6,0,FALSE,0
7,1.47791753863551,FALSE,0
8,0,FALSE,0
9,0,FALSE,0
10,0,FALSE,0
11,0,FALSE,0
12,0,FALSE,0
13,0,FALSE,0
14,0.602081143377639,FALSE,0
15,0,FALSE,0
16,0.0725850089685012,FALSE,0
17,0,FALSE,0
18,0.258445488856715,FALSE,0
19,0.706531056766284,FALSE,0
20,0.171233069861756,FALSE,0
21,0,FALSE,0
22,0.184539400176111,FALSE,0
23,0.246183013671177,FALSE,0
24,0.653979186619162,FALSE,0
25,0,FALSE,0
26,1.11005061005443,FALSE,0
27,0,FALSE,0
28,0,FALSE,0
29,0.0923679821665307,FALSE,0
30,0.0737582569680555,FALSE,0
1,0,FALSE,0.05
2,0,FALSE,0.05
3,0.723684684075139,FALSE,0.05
4,0,FALSE,0.05
5,0,FALSE,0.05
6,0,FALSE,0.05
7,1.47791753863551,FALSE,0.05
8,1.92972666442608,FALSE,0.05
9,0,FALSE,0.05
10,0,FALSE,0.05
11,0,FALSE,0.05
12,5.65505456193725,FALSE,0.05
13,0.383359471381488,FALSE,0.05
14,0.602081143377639,FALSE,0.05
15,0,FALSE,0.05
16,0.0725850089685012,FALSE,0.05
17,0,FALSE,0.05
18,0.258445488856715,FALSE,0.05
19,0,FALSE,0.05
20,0.171233069861756,FALSE,0.05
21,0.614649859027539,FALSE,0.05
22,0.184539400176111,FALSE,0.05
23,0.246183013671177,FALSE,0.05
24,0.596536484102364,FALSE,0.05
25,0,FALSE,0.05
26,0,FALSE,0.05
27,0,FALSE,0.05
28,0.165415515375169,FALSE,0.05
29,0.0923679821665307,FALSE,0.05
30,0.137954893279655,FALSE,0.05
1,0,FALSE,0.1
2,0,FALSE,0.1
3,0,FALSE,0.1
4,0,FALSE,0.1
5,0,FALSE,0.1
6,0,FALSE,0.1
7,1.47791753863551,FALSE,0.1
8,1.92972666442608,FALSE,0.1
9,0.61166225159124,FALSE,0.1
10,0,FALSE,0.1
11,0,FALSE,0.1
12,52.3565616893103,TRUE,0.1
13,51.241280702996,TRUE,0.1
14,0.0505657247995529,FALSE,0.1
15,0,FALSE,0.1
16,0.0725850089685012,FALSE,0.1
17,0,FALSE,0.1
18,0,FALSE,0.1
19,0,FALSE,0.1
20,0.171233069861756,FALSE,0.1
21,56.2741476375612,TRUE,0.1
22,0.184539400176111,FALSE,0.1
23,0.246183013671177,FALSE,0.1
24,0.596536484102364,FALSE,0.1
25,0,FALSE,0.1
26,0,FALSE,0.1
27,0,FALSE,0.1
28,1.1300249587121,FALSE,0.1
29,0.0923679821665307,FALSE,0.1
30,0.137954893279655,FALSE,0.1
1,0,FALSE,0.15
2,0,FALSE,0.15
3,20.595118124621,TRUE,0.15
4,0,FALSE,0.15
5,0,FALSE,0.15
6,0,FALSE,0.15
7,0,FALSE,0.15
8,0.442516506834005,FALSE,0.15
9,45.6793324924537,TRUE,0.15
10,126.603119888405,TRUE,0.15
11,0,FALSE,0.15
12,16.7264325334032,FALSE,0.15
13,123.073385306017,TRUE,0.15
14,0.556468127859943,FALSE,0.15
15,1.14202593034554,FALSE,0.15
16,136.158660087766,TRUE,0.15
17,0,FALSE,0.15
18,6.00145298503308,FALSE,0.15
19,0,FALSE,0.15
20,0.171233069861756,FALSE,0.15
21,12.8477875285685,FALSE,0.15
22,26.1250762307128,TRUE,0.15
23,0.246183013671177,FALSE,0.15
24,0,FALSE,0.15
25,12.1143698730592,FALSE,0.15
26,0,FALSE,0.15
27,0,FALSE,0.15
28,117.049543063821,TRUE,0.15
29,0.0923679821665307,FALSE,0.15
30,0,FALSE,0.15
1,0,FALSE,0.2
2,0,FALSE,0.2
3,52.18855210004,TRUE,0.2
4,96.0291635286826,TRUE,0.2
5,0,FALSE,0.2
6,0,FALSE,0.2
7,0,FALSE,0.2
8,1.01507268652029,FALSE,0.2
9,4.2144185890454,FALSE,0.2
10,42.4720345512704,TRUE,0.2
11,115.217155126802,TRUE,0.2
12,25.9884273121995,TRUE,0.2
13,123.073385306017,TRUE,0.2
14,0.556468127859943,FALSE,0.2
15,146.94730560916,TRUE,0.2
16,0.088675424813571,FALSE,0.2
17,0,FALSE,0.2
18,17.4259629093496,FALSE,0.2
19,94.7839581522355,TRUE,0.2
20,0.171233069861756,FALSE,0.2
21,218.026730910779,TRUE,0.2
22,81.8798455814931,TRUE,0.2
23,0,FALSE,0.2
24,0,FALSE,0.2
25,158.162923140288,TRUE,0.2
26,0,FALSE,0.2
27,0,FALSE,0.2
28,108.570242239354,TRUE,0.2
29,0.0923679821665307,FALSE,0.2
30,0,FALSE,0.2
1,2.74237216022401,FALSE,0.25
2,164.216769704114,TRUE,0.25
3,5.29054340625693,FALSE,0.25
4,83.7237597701942,TRUE,0.25
5,8.90609315872677,FALSE,0.25
6,108.590077191283,TRUE,0.25
7,29.6674670677357,TRUE,0.25
8,1.01507268652029,FALSE,0.25
9,156.008261021611,TRUE,0.25
10,42.4720345512704,TRUE,0.25
11,144.859310919669,TRUE,0.25
12,126.761793048528,TRUE,0.25
13,235.575161892797,TRUE,0.25
14,0.556468127859943,FALSE,0.25
15,38.1711949597466,TRUE,0.25
16,0.088675424813571,FALSE,0.25
17,0,FALSE,0.25
18,17.4259629093496,FALSE,0.25
19,134.534367014055,TRUE,0.25
20,7.48311750191801,FALSE,0.25
21,273.026605798139,TRUE,0.25
22,35.7432900206429,TRUE,0.25
23,23.3520382164506,TRUE,0.25
24,128.355899663857,TRUE,0.25
25,41.3181082145654,TRUE,0.25
26,2.63792866088221,FALSE,0.25
27,0,FALSE,0.25
28,0.155431023003278,FALSE,0.25
29,0.0923679821665307,FALSE,0.25
30,0,FALSE,0.25
