"decisions","boarded","queued_at_end","mean_wait_days","p90_wait_days","mean_wait_critical","mean_wait_standard","sorties_scheduled","sorties_flown","cancellation_rate","role4_peak","role4_peak_day","role4_peak_after_end","hold_total_bed_days","hold_evac_bed_days","hold_recovery_bed_days","hold_post_definitive_bed_days","hold_post_op_bed_days","hold_unexplained_bed_days","hold_evac_share","ventilated_holds","ventilated_hold_hours","replication","setting","value","arm","scenario"
173,172,1,0.588146926106539,2,0.525345440860236,0.686567164179104,4,4,0,108,30,0,490.900568137177,84,281.204175519707,100.867738428924,24.8286541885462,-5.6843418860808e-14,0.171114081857259,14,24.3378723056963,1,"shipped",0,"baseline","moderate_intensity"
197,197,0,0.824687584340682,3,1.17683178895219,0.287441938843645,4,4,0,128,30,0,481.556098242126,134,205.4401500848,113.430972397178,28.6849757601482,0,0.278264568736963,17,26.2968365506052,2,"shipped",0,"baseline","moderate_intensity"
172,171,1,1.05987235608156,4,1.19904680149683,0.781523465251018,4,4,0,111,30,0,511.794886927374,158,229.177672745987,98.2453233315324,26.3718908498548,1.13686837721616e-13,0.308717425741733,15,25.7134396627748,3,"shipped",0,"baseline","moderate_intensity"
269,257,12,2.43530889828542,5,2.59961484781332,2.22920582124604,4,4,0,175,30,0,799.416792417943,335,210.109347069878,205.512453752459,48.7949915956058,0,0.419055495427795,14,52.300097391441,4,"shipped",0,"baseline","moderate_intensity"
178,177,1,1.75051368313542,5,2.13404203876594,0.921818486148039,4,4,0,123,25,-5,551.513846862995,252,150.99328796106,119.28882251555,29.2317363863847,0,0.456924157812852,20,33.5826995552521,5,"shipped",0,"baseline","moderate_intensity"
130,128,2,0.823155581508315,3.08901774811276,0.85633403181333,0.776204944284239,4,4,0,80,30,0,394.983622337575,63,263.564332543379,56.0153003200063,12.403989474189,5.6843418860808e-14,0.159500284156483,16,22.5833293253806,6,"shipped",0,"baseline","moderate_intensity"
112,112,0,0.891267997242037,4,1.14462320805095,0.588235294117647,4,4,0,62,29,-1,235.016810838707,95,94.3351838395422,37.083260864818,8.59836613434637,-2.8421709430404e-14,0.404226402617637,4,25.5261239671014,7,"shipped",0,"baseline","moderate_intensity"
141,140,1,0.428343813721487,2,0.325484650797844,0.607843137254902,4,4,0,90,30,0,384.192034863451,48,232.723276045783,77.9853702196057,25.4833885980626,5.6843418860808e-14,0.124937519896944,12,22.6952916626204,8,"shipped",0,"baseline","moderate_intensity"
146,146,0,0.40575116455433,1.01333379733553,0.514757976487287,0.258064516129032,4,4,0,82,30,0,334.011906160744,49,203.57425196913,65.7652958559076,15.6723583357069,5.6843418860808e-14,0.146701357335504,10,20.0257604668931,9,"shipped",0,"baseline","moderate_intensity"
219,210,9,1.23335665920221,4,1.295633700322,1.13806528303096,4,4,0,131,30,0,648.330665282964,176,302.621288203056,136.163757527571,33.5456195523373,1.13686837721616e-13,0.27146641278056,14,23.2217006065494,10,"shipped",0,"baseline","moderate_intensity"
