"window_min","held_r2b","r2b_surgeries","diverted_offshift","diverted_busy","r2e_first_surgeries","r2e_theatre_deferred","total_dow","total_casualties","replication"
0,0,45,74,6,105,8,2,424,1
0,0,56,106,45,158,30,4,614,2
0,0,53,110,15,155,21,1,419,3
0,0,82,168,78,223,67,3,703,4
0,0,51,63,18,102,14,1,374,5
0,0,35,58,13,93,7,0,401,6
0,0,62,100,31,164,30,1,647,7
0,0,60,68,12,109,8,0,453,8
0,0,48,91,11,124,24,2,396,9
0,0,53,67,12,110,14,1,409,10
0,0,46,89,17,113,19,0,446,11
0,0,52,75,24,126,18,1,468,12
0,0,66,115,30,155,41,0,523,13
0,0,49,78,20,122,18,1,475,14
0,0,64,94,38,149,32,0,507,15
0,0,52,71,12,103,14,2,413,16
0,0,46,61,8,94,11,0,425,17
0,0,51,104,17,147,33,3,480,18
0,0,68,92,27,152,24,3,471,19
0,0,49,73,12,106,19,3,487,20
0,0,46,92,6,124,17,1,438,21
0,0,48,82,13,128,12,1,447,22
0,0,42,78,12,109,14,1,395,23
0,0,57,79,8,113,14,0,372,24
0,0,40,59,15,89,6,0,383,25
0,0,49,77,16,113,19,1,459,26
0,0,54,83,4,112,7,1,466,27
0,0,49,74,13,108,10,1,358,28
0,0,54,102,31,159,24,4,493,29
0,0,46,62,10,94,16,2,429,30
0,0,53,74,15,117,14,0,519,31
0,0,45,86,24,132,22,1,387,32
0,0,53,75,10,108,11,1,407,33
0,0,57,89,14,134,21,2,476,34
0,0,56,63,12,101,12,1,445,35
0,0,57,103,26,146,23,3,448,36
0,0,58,75,8,110,18,0,466,37
0,0,54,107,27,168,27,2,537,38
0,0,51,78,10,122,16,3,395,39
0,0,59,85,12,127,16,0,438,40
0,0,48,82,14,122,16,2,425,41
0,0,57,82,27,130,8,0,453,42
0,0,54,69,16,109,9,1,495,43
0,0,46,65,12,105,14,1,390,44
0,0,51,77,8,111,12,4,394,45
0,0,45,64,6,86,9,1,402,46
0,0,44,72,16,116,9,2,416,47
0,0,64,121,25,157,31,1,529,48
0,0,40,72,10,100,13,1,369,49
0,0,37,68,6,95,11,1,528,50
60,5,55,80,17,122,11,3,480,1
60,6,43,62,13,94,11,2,430,2
60,11,60,101,27,143,20,2,545,3
60,11,84,134,77,204,59,3,660,4
60,7,52,83,16,113,17,2,484,5
60,4,43,53,11,85,11,1,375,6
60,8,65,78,26,136,20,3,525,7
60,7,64,89,24,144,17,1,520,8
60,5,58,70,11,111,16,1,383,9
60,6,60,90,32,154,23,2,512,10
60,6,61,101,34,158,21,1,526,11
60,5,58,97,20,150,17,3,444,12
60,11,61,113,28,149,33,2,533,13
60,9,46,40,19,84,7,2,407,14
60,8,64,90,20,142,21,0,420,15
60,4,53,68,17,112,10,3,443,16
60,6,43,56,6,84,10,0,378,17
60,9,38,46,14,88,11,0,360,18
60,10,53,85,18,135,20,1,482,19
60,5,49,66,14,96,14,4,497,20
60,2,39,61,6,86,14,2,354,21
60,7,58,78,10,124,14,0,503,22
60,7,49,54,11,90,9,0,347,23
60,7,58,62,18,105,12,1,405,24
60,6,46,52,7,92,9,0,404,25
60,3,51,93,23,145,23,1,524,26
60,9,47,69,9,100,16,0,384,27
60,7,67,81,24,130,17,0,457,28
60,6,49,79,10,119,14,0,390,29
60,8,45,73,6,103,16,0,403,30
60,4,48,59,21,105,12,3,418,31
60,9,56,75,22,129,11,2,426,32
60,5,44,43,6,74,5,0,369,33
60,8,63,90,22,144,23,3,530,34
60,7,61,66,19,114,17,0,429,35
60,4,52,76,26,125,19,0,411,36
60,10,55,50,12,83,13,1,430,37
60,8,46,69,18,111,11,0,378,38
60,7,56,67,20,112,26,2,465,39
60,6,54,66,9,105,14,3,390,40
60,8,49,54,7,78,6,3,370,41
60,7,64,94,18,146,21,0,491,42
60,6,50,63,9,95,8,2,402,43
60,3,48,57,12,99,17,0,405,44
60,4,48,61,9,100,14,1,402,45
60,12,62,118,26,179,27,3,522,46
60,10,76,92,38,141,30,1,522,47
60,4,53,57,8,97,14,2,409,48
60,6,52,61,21,111,21,0,439,49
60,5,46,60,7,90,8,2,453,50
