"window_min","response","n_reps","mean","ci_lower","ci_upper"
0,"held_r2b",30,0,0,0
0,"r2b_surgeries",30,632.833333333333,618.788618612472,646.878048054194
0,"diverted_offshift",30,1008.36666666667,988.772446666763,1027.96088666657
0,"diverted_busy",30,230.133333333333,215.436658566439,244.830008100228
0,"r2e_first_surgeries",30,1573.83333333333,1536.51692379053,1611.14974287614
0,"r2e_theatre_deferred",30,214.333333333333,201.49055300921,227.176113657457
0,"total_dow",30,15.8333333333333,14.1289752982227,17.5376913684439
0,"total_casualties",30,5386.03333333333,5322.83983564221,5449.22683102446
60,"held_r2b",30,80.0333333333333,76.4457340063947,83.620932660272
60,"r2b_surgeries",30,669.566666666667,658.921855014067,680.211478319266
60,"diverted_offshift",30,947.433333333333,922.730326296748,972.136340369919
60,"diverted_busy",30,245.466666666667,229.539111679956,261.394221653377
60,"r2e_first_surgeries",30,1558.83333333333,1516.59737227578,1601.06929439088
60,"r2e_theatre_deferred",30,212.7,200.60019865789,224.79980134211
60,"total_dow",30,15.4,14.1380922249229,16.6619077750771
60,"total_casualties",30,5359.9,5282.65820336618,5437.14179663382
