"gate_enabled","icu_occupancy","total_dow","total_casualties","icu_pathway_n","icu_pathway_dow","hold_pathway_n","hold_pathway_dow","replication"
0,0.945740233849332,11,5430,1505,0,0,0,1
0,0.933021712513711,24,5301,1425,1,0,0,2
0,0.956465522185569,6,5453,1599,0,0,0,3
0,0.987053403302598,13,5877,1899,0,0,0,4
0,0.973082488836846,18,5559,1727,1,0,0,5
0,0.932626875295829,14,5197,1422,0,0,0,6
0,0.956756339095691,26,5479,1601,0,0,0,7
0,0.960062787206657,17,5595,1616,2,0,0,8
0,0.956598897825535,14,5598,1612,0,0,0,9
0,0.910616991025393,15,5211,1386,0,0,0,10
0,0.935867619025268,14,5069,1430,0,0,0,11
0,0.938587433674182,15,5092,1488,0,0,0,12
0,0.97358055346002,12,5563,1728,0,0,0,13
0,0.923767783586397,8,5121,1392,0,0,0,14
0,0.945072631592629,18,5559,1586,0,0,0,15
0,0.947215256660484,12,5496,1495,0,0,0,16
0,0.961113199241149,13,5560,1610,0,0,0,17
0,0.951941281714895,22,5266,1532,0,0,0,18
0,0.949243272078449,10,5453,1595,1,0,0,19
0,0.928707647084814,11,5421,1447,0,0,0,20
0,0.94724512910499,11,5388,1619,0,0,0,21
0,0.941159251654009,13,5181,1514,1,0,0,22
0,0.930024756722612,20,5224,1450,0,0,0,23
0,0.974443046858207,18,5779,1798,0,0,0,24
0,0.966723611783518,15,5612,1703,0,0,0,25
0,0.922288777966981,11,5372,1500,0,0,0,26
0,0.937217367347817,11,5362,1413,0,0,0,27
0,0.941368662853695,16,5302,1538,0,0,0,28
0,0.956877018256759,15,5450,1546,0,0,0,29
0,0.941991668873976,12,5187,1550,1,0,0,30
1,0.872578668697613,18,5454,599,0,611,0,1
1,0.8408863636866,17,5129,601,0,521,0,2
1,0.878393962757149,15,5478,641,0,680,1,3
1,0.905161249101046,19,5460,593,0,697,1,4
1,0.874644851836987,20,5333,570,0,621,0,5
1,0.866553886521996,18,5043,603,0,557,0,6
1,0.840894086368434,16,5178,569,0,545,2,7
1,0.881718777487221,19,5815,669,1,629,2,8
1,0.876930900584091,17,5336,631,0,601,1,9
1,0.91381647493889,18,5667,601,0,744,2,10
1,0.876318417350578,16,5157,592,0,647,0,11
1,0.885063983136715,12,5421,658,0,625,2,12
1,0.899436494938229,16,5519,631,0,692,0,13
1,0.892266261013157,17,5317,568,0,687,0,14
1,0.879573844005868,13,5237,617,0,590,0,15
1,0.883932431402238,11,5294,597,0,614,0,16
1,0.878312613919407,12,5350,674,0,625,0,17
1,0.877886457504672,15,5286,661,0,615,1,18
1,0.871191149439121,11,5386,650,0,612,0,19
1,0.880467426337155,16,5397,646,0,579,1,20
1,0.867836734147382,7,5272,596,0,596,0,21
1,0.877912299505544,14,5288,604,0,617,1,22
1,0.830349571299127,10,4936,620,1,414,0,23
1,0.885131245638194,11,5482,640,0,632,1,24
1,0.86635135324975,17,5164,633,0,589,0,25
1,0.879813464119654,23,5747,629,0,667,1,26
1,0.873284844543372,15,5311,632,0,602,0,27
1,0.8981368748733,17,5728,578,0,725,2,28
1,0.851422742254703,17,5106,584,0,499,2,29
1,0.901868337433338,15,5506,553,1,746,0,30
