"gate_enabled","response","n_reps","mean","ci_lower","ci_upper"
0,"icu_occupancy",50,0.890832732282475,0.875405987276155,0.906259477288795
0,"total_dow",50,1.14,0.759099177503805,1.5209008224962
0,"total_casualties",50,432.8,415.578610440193,450.021389559807
0,"icu_pathway_n",50,118.28,109.44065819485,127.11934180515
0,"icu_pathway_dow",50,0.02,-0.0201915047425848,0.0601915047425848
0,"hold_pathway_n",50,0,0,0
0,"hold_pathway_dow",50,0,0,0
1,"icu_occupancy",50,0.838354765248367,0.822009756587164,0.854699773909569
1,"total_dow",50,1.36,1.01665163691512,1.70334836308488
1,"total_casualties",50,444.72,426.294061271255,463.145938728745
1,"icu_pathway_n",50,50.68,47.8430005342552,53.5169994657448
1,"icu_pathway_dow",50,0,0,0
1,"hold_pathway_n",50,42.4,37.0104956499612,47.7895043500388
1,"hold_pathway_dow",50,0.06,-0.00817823947232267,0.128178239472323
