simmer environment: Battlefield Casualty Handling | now: 0 | next: 0
{ Monitor: in memory }
{ Resource: c_r1_technician_medic_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_technician_medic_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_technician_medic_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_clinician_nurse_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_clinician_doctor_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_technician_medic_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_technician_medic_2_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_technician_medic_3_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_clinician_nurse_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_clinician_doctor_1_t2 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_technician_medic_1_t3 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_technician_medic_2_t3 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_technician_medic_3_t3 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_clinician_nurse_1_t3 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r1_clinician_doctor_1_t3 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_surg_1_anesthetist_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2b_surg_1_surgeon_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2b_surg_1_surgeon_2_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2b_surg_1_medic_1_t1 | monitored: TRUE | server status: 0(NA) | queue status: 0(Inf) }
{ Resource: c_r2b_emerg_1_facem_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_emerg_1_nurse_1_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_emerg_1_nurse_2_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
{ Resource: c_r2b_emerg_1_nurse_3_t1 | monitored: TRUE | server status: 0(1) | queue status: 0(Inf) }
