"series","subject","block","n_reps","mean","ci_lower","ci_upper","block_start_day","scenario"
"arrivals","system",1,30,14.7711111111111,13.9493982693814,15.5928239528408,1,"moderate_intensity"
"arrivals","system",2,30,14.7366666666667,14.0458210414962,15.4275122918372,31,"moderate_intensity"
"arrivals","system",3,30,14.79,14.1088200445001,15.4711799554999,61,"moderate_intensity"
"arrivals","system",4,30,14.9055555555556,14.2782948757163,15.5328162353948,91,"moderate_intensity"
"arrivals","system",5,30,14.8711111111111,14.1379963105562,15.6042259116661,121,"moderate_intensity"
"arrivals","system",6,30,14.5811111111111,14.0030699444889,15.1591522777333,151,"moderate_intensity"
"arrivals","system",7,30,14.9122222222222,14.1797945460171,15.6446498984274,181,"moderate_intensity"
"arrivals","system",8,30,14.6277777777778,13.8847083486347,15.3708472069208,211,"moderate_intensity"
"arrivals","system",9,30,14.6655555555556,13.8972040326058,15.4339070785053,241,"moderate_intensity"
"arrivals","system",10,30,14.9911111111111,14.2544546257235,15.7277675964987,271,"moderate_intensity"
"arrivals","system",11,30,15.2144444444444,14.4888082080238,15.9400806808651,301,"moderate_intensity"
"arrivals","system",12,30,14.3488888888889,13.5457988462591,15.1519789315186,331,"moderate_intensity"
"dow","system",1,30,0.0322222222222222,0.0211455276411611,0.0432989168032834,1,"moderate_intensity"
"dow","system",2,30,0.0322222222222222,0.0202196360991446,0.0442248083452999,31,"moderate_intensity"
"dow","system",3,30,0.0233333333333333,0.0114800389174927,0.0351866277491739,61,"moderate_intensity"
"dow","system",4,30,0.0311111111111111,0.0213413720371961,0.0408808501850261,91,"moderate_intensity"
"dow","system",5,30,0.0388888888888889,0.0246097074038983,0.0531680703738795,121,"moderate_intensity"
"dow","system",6,30,0.0333333333333333,0.0206736796651479,0.0459929870015188,151,"moderate_intensity"
"dow","system",7,30,0.0288888888888889,0.0186910770700576,0.0390867007077202,181,"moderate_intensity"
"dow","system",8,30,0.0288888888888889,0.0163422701056564,0.0414355076721214,211,"moderate_intensity"
"dow","system",9,30,0.0366666666666667,0.0238601686914838,0.0494731646418496,241,"moderate_intensity"
"dow","system",10,30,0.0411111111111111,0.0277599938948795,0.0544622283273427,271,"moderate_intensity"
"dow","system",11,30,0.0366666666666667,0.020871666394824,0.0524616669385094,301,"moderate_intensity"
"dow","system",12,30,0.0288888888888889,0.0176922699040309,0.0400855078737469,331,"moderate_intensity"
"evac_backlog","system",1,30,6.00777777777778,2.25523678180942,9.76031877374614,1,"moderate_intensity"
"evac_backlog","system",2,30,3.94444444444444,0.424325610544216,7.46456327834467,31,"moderate_intensity"
"evac_backlog","system",3,30,2.36444444444444,1.1146904560829,3.61419843280599,61,"moderate_intensity"
"evac_backlog","system",4,30,2.06111111111111,1.02910428502513,3.09311793719709,91,"moderate_intensity"
"evac_backlog","system",5,30,1.76444444444444,1.10850875994384,2.42038012894505,121,"moderate_intensity"
"evac_backlog","system",6,30,1.47666666666667,1.0279579858682,1.92537534746513,151,"moderate_intensity"
"evac_backlog","system",7,30,1.64,1.22935861277353,2.05064138722647,181,"moderate_intensity"
"evac_backlog","system",8,30,1.41333333333333,0.97720137428637,1.8494652923803,211,"moderate_intensity"
"evac_backlog","system",9,30,2.46111111111111,0.975303901175294,3.94691832104693,241,"moderate_intensity"
"evac_backlog","system",10,30,1.92666666666667,0.975341073625709,2.87799225970762,271,"moderate_intensity"
"evac_backlog","system",11,30,3.42333333333333,0.401518553166751,6.44514811349991,301,"moderate_intensity"
"evac_backlog","system",12,30,2.21888888888889,1.23693879921635,3.20083897856143,331,"moderate_intensity"
