"series","subject","first","last","late_mean","slope","ci_lower","ci_upper","drift_per_block","settles_by_block","stability","scenario"
"mean_queue","R2E holding beds",1.83560581389304,0.347047794974305,0.571472755166921,0.11695875020307,-0.185776611444575,0.419694111850715,0.204661988074843,2,"converged","moderate_intensity"
"mean_queue","R2E intensive care",1.64261041816547,1.39180817254538,1.20206234283719,0.164384344509132,-0.0058325967290036,0.334601285747267,0.136751929289409,1,"converged","moderate_intensity"
"evac_backlog","system",6.00777777777778,2.21888888888889,2.08,0.225238095238095,-0.0473392947268478,0.497815485203038,0.108287545787546,3,"converged","moderate_intensity"
"mean_queue","R2E operating theatres",1.68057402116413,2.36296789869046,2.2103585188515,0.0584863694773443,-0.0775360963286239,0.194508835283313,0.026460128064534,5,"converged","moderate_intensity"
"dow","system",0.0322222222222222,0.0288888888888889,0.0334920634920635,0.000515873015873019,-0.00200228001168852,0.00303402604343456,0.0154028436018958,4,"converged","moderate_intensity"
"occupancy","R2B operating theatres",0.0747142592848319,0.0792629332837911,0.0770901396429521,0.000456967459552644,-0.000338404381501156,0.00125233930060644,0.0059277030975572,1,"converged","moderate_intensity"
"occupancy","R2E holding beds",0.503492030622372,0.519072664455407,0.533047650568651,0.00302628275631402,-0.0094509562571516,0.0155035217697796,0.00567732125464882,1,"converged","moderate_intensity"
"occupancy","R2E operating theatres",0.393645623713836,0.461660130957148,0.475403869570175,0.00250434827021419,-0.00689357053687429,0.0119022670773027,0.00526783316357613,5,"converged","moderate_intensity"
"mean_queue","R2B holding beds",5.68632315117511,5.63247501645193,6.44522776492373,0.0290290549537097,-0.281149184994256,0.339207294901676,0.0045039610720496,1,"converged","moderate_intensity"
"occupancy","R2E intensive care",0.840163894057714,0.882309741371646,0.878959419771415,0.0020424037060658,-0.00153858916012406,0.00562339657225565,0.00232366097924856,5,"converged","moderate_intensity"
"arrivals","system",14.7711111111111,14.3488888888889,14.7630158730159,0.00968253968254039,-0.145137451392619,0.164502530757699,0.000655864612341054,1,"converged","moderate_intensity"
"occupancy","R2B holding beds",0.749504493274847,0.772411285020797,0.786866844725073,0.000266369598870394,-0.0052310710301032,0.00576381022784399,0.000338519281446485,2,"converged","moderate_intensity"
"mean_queue","R2B operating theatres",0,0,0,0,0,0,0,NA,"degenerate","moderate_intensity"
"dow","system",0.784444444444444,0.826666666666667,0.850634920634921,-0.00523809523809515,-0.0273587545108637,0.0168825640346734,-0.00615786527337179,1,"converged","high_intensity"
"mean_queue","R2B holding beds",31.1394591393218,35.4812252321384,35.178824348947,-0.0445877401202263,-0.516828251571593,0.42765277133114,-0.00126745964214011,3,"converged","high_intensity"
"arrivals","system",35.1855555555556,35.0144444444444,34.6974603174603,0.036984126984129,-0.198490033234402,0.27245828720266,0.00106590299825253,6,"converged","high_intensity"
"occupancy","R2B holding beds",0.845761949356797,0.881830632612065,0.879887193231478,0.000680897259007938,-0.00110727659293577,0.00246907111095165,0.000773846084186396,2,"converged","high_intensity"
"occupancy","R2B operating theatres",0.159991406688044,0.165413966021914,0.16727326571475,-0.000107315712896765,-0.00137628401750663,0.0011616525917131,-0.000641559261955047,2,"converged","high_intensity"
"occupancy","R2E holding beds",0.897651290954322,1,0.999999978377084,1.62171868754744e-08,-7.85116370761593e-09,4.02855374585648e-08,1.62171872261373e-08,7,"converged","high_intensity"
"occupancy","R2E intensive care",0.973016874183412,1,1,0,0,0,0,6,"converged","high_intensity"
"occupancy","R2E operating theatres",0.936071560195937,1,1,0,0,0,0,6,"converged","high_intensity"
"mean_queue","R2B operating theatres",0,0,0,0,0,0,0,NA,"degenerate","high_intensity"
"mean_queue","R2E intensive care",30.1185827334301,1630.79682503733,1169.3966500876,152.693740647317,151.584236171726,153.803245122909,0.130574805935932,NA,"drifting","high_intensity"
"evac_backlog","system",56.6611111111111,1828.22444444444,1323.45412698413,166.333333333333,164.312792404408,168.353874262259,0.125681223052568,NA,"drifting","high_intensity"
"mean_queue","R2E operating theatres",40.4758496781241,605.88868654254,455.840716648054,50.696790605931,48.9292393174968,52.4643418943653,0.111216020759886,NA,"drifting","high_intensity"
"mean_queue","R2E holding beds",38.7506625201782,502.310416159068,390.813696060942,36.8148204648757,35.1826224441976,38.4470184855539,0.0942004357471007,NA,"drifting","high_intensity"
