"rate_per_day","total_casualties","n_events","n_ordinary","dow_ordinary","n_event","dow_event","replication"
0,480,0,480,3,0,0,1
0,430,0,430,2,0,0,2
0,545,0,545,2,0,0,3
0,660,0,660,3,0,0,4
0,484,0,484,2,0,0,5
0,375,0,375,1,0,0,6
0,525,0,525,3,0,0,7
0,520,0,520,1,0,0,8
0,383,0,383,1,0,0,9
0,512,0,512,2,0,0,10
0,526,0,526,1,0,0,11
0,444,0,444,3,0,0,12
0,533,0,533,2,0,0,13
0,407,0,407,2,0,0,14
0,420,0,420,0,0,0,15
0,443,0,443,3,0,0,16
0,378,0,378,0,0,0,17
0,360,0,360,0,0,0,18
0,482,0,482,1,0,0,19
0,497,0,497,4,0,0,20
0,354,0,354,2,0,0,21
0,503,0,503,0,0,0,22
0,347,0,347,0,0,0,23
0,405,0,405,1,0,0,24
0,404,0,404,0,0,0,25
0,524,0,524,1,0,0,26
0,384,0,384,0,0,0,27
0,457,0,457,0,0,0,28
0,390,0,390,0,0,0,29
0,403,0,403,0,0,0,30
0,418,0,418,3,0,0,31
0,426,0,426,2,0,0,32
0,369,0,369,0,0,0,33
0,530,0,530,3,0,0,34
0,429,0,429,0,0,0,35
0,411,0,411,0,0,0,36
0,430,0,430,1,0,0,37
0,378,0,378,0,0,0,38
0,465,0,465,2,0,0,39
0,390,0,390,3,0,0,40
0,370,0,370,3,0,0,41
0,491,0,491,0,0,0,42
0,402,0,402,2,0,0,43
0,405,0,405,0,0,0,44
0,402,0,402,1,0,0,45
0,522,0,522,3,0,0,46
0,522,0,522,1,0,0,47
0,409,0,409,2,0,0,48
0,439,0,439,0,0,0,49
0,453,0,453,2,0,0,50
0,406,0,406,0,0,0,51
0,433,0,433,2,0,0,52
0,433,0,433,0,0,0,53
0,352,0,352,0,0,0,54
0,379,0,379,0,0,0,55
0,414,0,414,2,0,0,56
0,473,0,473,2,0,0,57
0,444,0,444,0,0,0,58
0,418,0,418,2,0,0,59
0,467,0,467,2,0,0,60
0,428,0,428,1,0,0,61
0,464,0,464,2,0,0,62
0.2,741,8,413,1,328,3,1
0.2,488,3,394,3,94,1,2
0.2,732,8,455,1,277,1,3
0.2,777,8,435,3,342,2,4
0.2,661,4,478,1,183,0,5
0.2,582,6,337,1,245,1,6
0.2,659,4,496,1,163,2,7
0.2,522,3,383,1,139,0,8
0.2,746,7,406,4,340,5,9
0.2,478,3,345,0,133,2,10
0.2,651,5,434,1,217,2,11
0.2,650,4,436,0,214,1,12
0.2,733,7,413,0,320,7,13
0.2,712,5,499,2,213,0,14
0.2,830,6,517,2,313,2,15
0.2,679,8,376,1,303,0,16
0.2,895,6,650,2,245,1,17
0.2,828,7,480,3,348,7,18
0.2,918,9,463,2,455,4,19
0.2,777,8,456,2,321,3,20
0.2,588,3,439,2,149,1,21
0.2,794,5,597,1,197,4,22
0.2,598,4,468,0,130,1,23
0.2,629,5,410,1,219,2,24
0.2,552,4,382,1,170,2,25
0.2,619,7,375,1,244,0,26
0.2,727,7,490,0,237,3,27
0.2,826,9,376,1,450,2,28
0.2,611,4,436,2,175,1,29
0.2,943,11,518,1,425,2,30
0.2,675,7,425,1,250,6,31
0.2,523,2,441,3,82,2,32
0.2,896,10,486,3,410,1,33
0.2,721,7,428,0,293,2,34
0.2,599,4,451,0,148,1,35
0.2,875,9,484,3,391,2,36
0.2,693,7,365,1,328,6,37
0.2,708,6,430,2,278,3,38
0.2,743,7,485,2,258,6,39
0.2,720,8,445,2,275,1,40
0.2,623,5,384,0,239,3,41
0.2,753,5,497,2,256,1,42
0.2,668,4,495,5,173,1,43
0.2,787,8,432,1,355,4,44
0.2,573,3,451,0,122,2,45
0.2,723,7,402,1,321,6,46
0.2,680,8,396,2,284,2,47
0.2,805,8,489,2,316,1,48
0.2,496,1,458,2,38,0,49
0.2,637,7,375,1,262,0,50
0.2,633,6,373,1,260,4,51
0.2,550,1,517,1,33,0,52
0.2,501,3,385,1,116,0,53
0.2,627,6,371,2,256,0,54
0.2,567,5,343,1,224,4,55
0.2,967,9,550,3,417,3,56
0.2,729,8,367,1,362,4,57
0.2,690,5,452,2,238,2,58
0.2,639,4,454,1,185,0,59
0.2,633,3,520,2,113,1,60
0.2,759,6,457,0,302,4,61
0.2,734,6,494,2,240,6,62
