"resource","time","server","queue","capacity","queue_size","system","limit","replication"
"c_r2b_surg_1_anesthetist_1_t2",0,0,0,0,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_1_t2",0,0,0,0,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_2_t2",0,0,0,0,Inf,0,Inf,1
"c_r2b_surg_1_medic_1_t2",0,0,0,0,Inf,0,Inf,1
"b_r2b_ot_1_t2",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_2_anesthetist_1_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_2_surgeon_1_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_2_surgeon_2_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_2_nurse_1_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_2_nurse_2_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_2_nurse_3_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_2_nurse_4_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_4_anesthetist_1_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_4_surgeon_1_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_4_surgeon_2_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_1_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_2_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_3_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_4_nurse_4_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_6_anesthetist_1_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_6_surgeon_1_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_6_surgeon_2_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_6_nurse_1_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_6_nurse_2_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_6_nurse_3_t1",0,0,0,0,Inf,0,Inf,1
"c_r2eheavy_surg_6_nurse_4_t1",0,0,0,0,Inf,0,Inf,1
"c_r2b_surg_1_anesthetist_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_2_t1",0,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_medic_1_t1",0,0,0,1,Inf,0,Inf,1
"b_r2b_ot_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_1_anesthetist_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_1_surgeon_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_1_surgeon_2_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_1_nurse_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_1_nurse_2_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_1_nurse_3_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_1_nurse_4_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_3_anesthetist_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_3_surgeon_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_3_surgeon_2_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_3_nurse_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_3_nurse_2_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_3_nurse_3_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_3_nurse_4_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_5_anesthetist_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_5_surgeon_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_5_surgeon_2_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_5_nurse_1_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_5_nurse_2_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_5_nurse_3_t1",0,0,0,1,Inf,0,Inf,1
"c_r2eheavy_surg_5_nurse_4_t1",0,0,0,1,Inf,0,Inf,1
"b_r2eheavy_ot_2_t1",0,0,0,1,Inf,0,Inf,1
"c_r1_technician_medic_1_t3",312.453926968854,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t3",312.453926968854,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t3",334.201004036634,0,0,1,Inf,0,Inf,1
"c_r1_technician_medic_1_t3",334.201004036634,0,0,1,Inf,0,Inf,1
"t_PMVAmb_1",334.201004036634,1,0,1,Inf,1,Inf,1
"t_PMVAmb_1",365.58043247516,0,0,1,Inf,0,Inf,1
"b_r2b_hold_1_t1",365.58043247516,1,0,1,Inf,1,Inf,1
"b_r2b_resus_1_t1",365.58043247516,1,0,1,Inf,1,Inf,1
"b_r2b_hold_1_t1",365.58043247516,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_facem_1_t1",365.58043247516,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_1_t1",365.58043247516,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_2_t1",365.58043247516,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_3_t1",365.58043247516,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_medic_1_t1",365.58043247516,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_facem_1_t1",417.293929208027,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_1_t1",417.293929208027,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_2_t1",417.293929208027,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_3_t1",417.293929208027,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_medic_1_t1",417.293929208027,0,0,1,Inf,0,Inf,1
"b_r2b_resus_1_t1",417.293929208027,0,0,1,Inf,0,Inf,1
"b_r2b_ot_1_t1",417.293929208027,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_anesthetist_1_t1",417.293929208027,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_surgeon_1_t1",417.293929208027,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_surgeon_2_t1",417.293929208027,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_medic_1_t1",417.293929208027,1,0,1,Inf,1,Inf,1
"c_r1_technician_medic_1_t3",442.997119789477,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t3",442.997119789477,1,0,1,Inf,1,Inf,1
"c_r1_clinician_nurse_1_t3",463.573228934658,0,0,1,Inf,0,Inf,1
"c_r1_technician_medic_1_t3",463.573228934658,0,0,1,Inf,0,Inf,1
"t_PMVAmb_1",463.573228934658,1,0,1,Inf,1,Inf,1
"t_PMVAmb_1",498.805613354915,0,0,1,Inf,0,Inf,1
"b_r2b_hold_1_t2",498.805613354915,1,0,1,Inf,1,Inf,1
"b_r2b_resus_1_t2",498.805613354915,1,0,1,Inf,1,Inf,1
"b_r2b_hold_1_t2",498.805613354915,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_facem_1_t2",498.805613354915,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_1_t2",498.805613354915,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_2_t2",498.805613354915,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_nurse_3_t2",498.805613354915,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_medic_1_t2",498.805613354915,1,0,1,Inf,1,Inf,1
"c_r2b_surg_1_anesthetist_1_t1",549.468983757382,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_1_t1",549.468983757382,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_surgeon_2_t1",549.468983757382,0,0,1,Inf,0,Inf,1
"c_r2b_surg_1_medic_1_t1",549.468983757382,0,0,1,Inf,0,Inf,1
"b_r2b_ot_1_t1",549.468983757382,0,0,1,Inf,0,Inf,1
"c_r2b_evac_1_medic_1_t1",549.468983757382,1,0,1,Inf,1,Inf,1
"c_r2b_evac_1_medic_2_t1",549.468983757382,1,0,1,Inf,1,Inf,1
"c_r2b_emerg_1_facem_1_t2",563.276450577232,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_1_t2",563.276450577232,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_2_t2",563.276450577232,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_nurse_3_t2",563.276450577232,0,0,1,Inf,0,Inf,1
"c_r2b_emerg_1_medic_1_t2",563.276450577232,0,0,1,Inf,0,Inf,1
"b_r2b_resus_1_t2",563.276450577232,0,0,1,Inf,0,Inf,1
"b_r2b_ot_1_t2",563.276450577232,0,1,0,Inf,1,Inf,1
"c_r2b_evac_1_medic_1_t1",584.781089242151,0,0,1,Inf,0,Inf,1
"c_r2b_evac_1_medic_2_t1",584.781089242151,0,0,1,Inf,0,Inf,1
"b_r2eheavy_resus_1_t1",584.781089242151,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_facem_1_t1",584.781089242151,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_nurse_1_t1",584.781089242151,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_nurse_2_t1",584.781089242151,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_nurse_3_t1",584.781089242151,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_medic_1_t1",584.781089242151,1,0,1,Inf,1,Inf,1
"c_r2eheavy_emerg_2_facem_1_t1",617.367540103597,0,0,1,Inf,0,Inf,1
"c_r2eheavy_emerg_2_nurse_1_t1",617.367540103597,0,0,1,Inf,0,Inf,1
"c_r2eheavy_emerg_2_nurse_2_t1",617.367540103597,0,0,1,Inf,0,Inf,1
