"policy_days","hold_beds","response","n_reps","mean","ci_lower","ci_upper"
21,30,"hold_occupancy",30,0.518510073475634,0.493339707420068,0.5436804395312
21,30,"hold_mean_queue",30,0.212445214673234,0.0722900509590642,0.352600378387403
21,30,"icu_occupancy",30,0.871012826191419,0.859987401378996,0.882038251003841
21,30,"icu_mean_queue",30,0.745471317080688,0.539852726539621,0.951089907621756
21,30,"total_rtd",30,2118.83333333333,2092.66731140872,2144.99935525795
21,30,"total_dow",30,15.4,14.1380922249229,16.6619077750771
21,30,"dispositions",30,2558.13333333333,2501.34259543777,2614.9240712289
21,30,"in_theatre_share",30,0.110700641691541,0.107943286859851,0.113457996523231
21,30,"post_definitive_icu_share",30,0.32359828073042,0.306081945209217,0.341114616251623
21,30,"evac_decisions",30,2297.16666666667,2243.62467480244,2350.70865853089
21,30,"never_evacuated",30,1.7,0.506428946084572,2.89357105391543
21,30,"mean_evac_wait_days",30,0.45735577026152,0.32718806927387,0.58752347124917
21,30,"role4_sustained",30,93.4354097551794,89.3305522335466,97.5402672768122
21,30,"role4_peak",30,182.033333333333,174.755309559914,189.311357106752
21,30,"theatre_mean_queue",30,2.38866972835311,1.95933577094388,2.81800368576233
21,30,"released_unrepaired",30,140.966666666667,122.317106125974,159.61622720736
21,30,"role4_operations",30,1097.13333333333,1042.60759507885,1151.65907158781
21,30,"role4_theatre_minutes",30,16088.0979263061,13896.3109607982,18279.8848918139
21,30,"hold_beds",30,30,30,30
21,45,"hold_occupancy",30,0.404631213038981,0.382592486478545,0.426669939599416
21,45,"hold_mean_queue",30,0,0,0
21,45,"icu_occupancy",30,0.873595738013105,0.862777260469983,0.884414215556227
21,45,"icu_mean_queue",30,0.620149117751504,0.493103351373701,0.747194884129308
21,45,"total_rtd",30,2139.13333333333,2109.40431522031,2168.86235144635
21,45,"total_dow",30,17.2666666666667,15.7414016671427,18.7919316661906
21,45,"dispositions",30,2570.26666666667,2513.85221009528,2626.68112323806
21,45,"in_theatre_share",30,0.112157337096403,0.10956013822648,0.114754535966326
21,45,"post_definitive_icu_share",30,0.328425966673222,0.313023338940923,0.343828594405521
21,45,"evac_decisions",30,2306.2,2252.5827811788,2359.8172188212
21,45,"never_evacuated",30,1.56666666666667,0.643205889079177,2.49012744425416
21,45,"mean_evac_wait_days",30,0.465416078204898,0.111406314379576,0.819425842030221
21,45,"role4_sustained",30,91.8423101986167,88.1401407633927,95.5444796338406
21,45,"role4_peak",30,181.3,173.650499205896,188.949500794104
21,45,"theatre_mean_queue",30,2.33321059795473,1.82631422126411,2.84010697464535
21,45,"released_unrepaired",30,128.8,108.962181321513,148.637818678487
21,45,"role4_operations",30,1082.13333333333,1030.61310929083,1133.65355737584
21,45,"role4_theatre_minutes",30,14736.3799276218,12373.1511494479,17099.6087057956
21,45,"hold_beds",30,45,45,45
21,60,"hold_occupancy",30,0.384147661061197,0.352264802779923,0.416030519342471
21,60,"hold_mean_queue",30,0,0,0
21,60,"icu_occupancy",30,0.86956779013005,0.859001490221407,0.880134090038694
21,60,"icu_mean_queue",30,0.610121874198316,0.487526313031147,0.732717435365485
21,60,"total_rtd",30,2121.73333333333,2095.23574976684,2148.23091689983
21,60,"total_dow",30,17.1333333333333,15.355384241089,18.9112824255777
21,60,"dispositions",30,2544.63333333333,2490.1400765343,2599.12659013236
21,60,"in_theatre_share",30,0.112028361580461,0.109345171178424,0.114711551982498
21,60,"post_definitive_icu_share",30,0.334818615526146,0.322363141023365,0.347274090028927
21,60,"evac_decisions",30,2283.43333333333,2231.06415301681,2335.80251364985
21,60,"never_evacuated",30,1.96666666666667,0.855137539667885,3.07819579366545
21,60,"mean_evac_wait_days",30,0.375003319657478,0.244960883857991,0.505045755456965
21,60,"role4_sustained",30,91.2394990855906,87.7582990306263,94.7206991405549
21,60,"role4_peak",30,179.066666666667,171.121929562578,187.011403770756
21,60,"theatre_mean_queue",30,2.24581469078547,1.78465582720486,2.70697355436608
21,60,"released_unrepaired",30,124.266666666667,106.86723571758,141.666097615753
21,60,"role4_operations",30,1064.13333333333,1014.70066181641,1113.56600485026
21,60,"role4_theatre_minutes",30,14078.6303261477,12047.2227496661,16110.0379026292
21,60,"hold_beds",30,60,60,60
21,90,"hold_occupancy",30,0.384761059900242,0.352345899272313,0.41717622052817
21,90,"hold_mean_queue",30,0,0,0
21,90,"icu_occupancy",30,0.873261732586264,0.86215876701078,0.884364698161748
21,90,"icu_mean_queue",30,0.720749071072217,0.49372397064215,0.947774171502284
21,90,"total_rtd",30,2124.03333333333,2098.13355990681,2149.93310675986
21,90,"total_dow",30,16.7666666666667,15.2390393148011,18.2942940185322
21,90,"dispositions",30,2550.3,2498.38972497258,2602.21027502742
21,90,"in_theatre_share",30,0.112193742085621,0.109406789715916,0.114980694455326
21,90,"post_definitive_icu_share",30,0.332691714905724,0.320130913589353,0.345252516222096
21,90,"evac_decisions",30,2288.03333333333,2238.22955910827,2337.8371075584
21,90,"never_evacuated",30,1.93333333333333,0.815549716319945,3.05111695034672
21,90,"mean_evac_wait_days",30,0.461677056550204,0.136708635787834,0.786645477312573
21,90,"role4_sustained",30,92.0046742611095,88.1916738321402,95.8176746900789
21,90,"role4_peak",30,180.533333333333,172.769300776572,188.297365890094
21,90,"theatre_mean_queue",30,2.4886604534586,1.8033095757022,3.17401133121501
21,90,"released_unrepaired",30,127.333333333333,109.496335055557,145.17033161111
21,90,"role4_operations",30,1064.7,1017.41838997399,1111.98161002601
21,90,"role4_theatre_minutes",30,14520.3061099964,12395.4000318799,16645.212188113
21,90,"hold_beds",30,90,90,90
