"policy_days","hold_beds","response","n_reps","mean","ci_lower","ci_upper"
15,NA,"hold_occupancy",30,0.271904548906996,0.257821960121858,0.285987137692134
15,NA,"hold_mean_queue",30,0,0,0
15,NA,"icu_occupancy",30,0.869825993299318,0.860555220161274,0.879096766437363
15,NA,"icu_mean_queue",30,0.933886891667774,0.633378003430919,1.23439577990463
15,NA,"total_rtd",30,1987.86666666667,1963.05470142847,2012.67863190486
15,NA,"total_dow",30,15.3333333333333,13.7240129833302,16.9426536833365
15,NA,"dispositions",30,2576.56666666667,2527.25075709706,2625.88257623627
15,NA,"in_theatre_share",30,0.0472376122150762,0.0457506491328883,0.0487245752972642
15,NA,"post_definitive_icu_share",30,0.322858330743326,0.308255273202592,0.33746138828406
15,NA,"evac_decisions",30,2463.86666666667,2415.8312894364,2511.90204389693
15,NA,"never_evacuated",30,1.2,0.483414396935804,1.9165856030642
15,NA,"mean_evac_wait_days",30,0.41778186832796,0.308882612458126,0.526681124197793
15,NA,"role4_sustained",30,97.6884839111188,93.0285551204028,102.348412701835
15,NA,"role4_peak",30,190.866666666667,182.543158585856,199.190174747477
15,NA,"theatre_mean_queue",30,3.09724128379062,2.10963172183899,4.08485084574225
15,NA,"released_unrepaired",30,140.3,120.585016841529,160.014983158471
15,NA,"role4_operations",30,1102.83333333333,1058.25868557671,1147.40798108996
15,NA,"role4_theatre_minutes",30,16203.1163612716,13893.210924425,18513.0217981181
15,NA,"hold_beds",0,NA,NA,NA
21,NA,"hold_occupancy",30,0.518510073475634,0.493339707420068,0.5436804395312
21,NA,"hold_mean_queue",30,0.212445214673234,0.0722900509590642,0.352600378387403
21,NA,"icu_occupancy",30,0.871012826191419,0.859987401378996,0.882038251003841
21,NA,"icu_mean_queue",30,0.745471317080688,0.539852726539621,0.951089907621756
21,NA,"total_rtd",30,2118.83333333333,2092.66731140872,2144.99935525795
21,NA,"total_dow",30,15.4,14.1380922249229,16.6619077750771
21,NA,"dispositions",30,2558.13333333333,2501.34259543777,2614.9240712289
21,NA,"in_theatre_share",30,0.110700641691541,0.107943286859851,0.113457996523231
21,NA,"post_definitive_icu_share",30,0.32359828073042,0.306081945209217,0.341114616251623
21,NA,"evac_decisions",30,2297.16666666667,2243.62467480244,2350.70865853089
21,NA,"never_evacuated",30,1.7,0.506428946084572,2.89357105391543
21,NA,"mean_evac_wait_days",30,0.45735577026152,0.32718806927387,0.58752347124917
21,NA,"role4_sustained",30,93.4354097551794,89.3305522335466,97.5402672768122
21,NA,"role4_peak",30,182.033333333333,174.755309559914,189.311357106752
21,NA,"theatre_mean_queue",30,2.38866972835311,1.95933577094388,2.81800368576233
21,NA,"released_unrepaired",30,140.966666666667,122.317106125974,159.61622720736
21,NA,"role4_operations",30,1097.13333333333,1042.60759507885,1151.65907158781
21,NA,"role4_theatre_minutes",30,16088.0979263061,13896.3109607982,18279.8848918139
21,NA,"hold_beds",0,NA,NA,NA
30,NA,"hold_occupancy",30,0.999996176532013,0.99999063075063,1.0000017223134
30,NA,"hold_mean_queue",30,480.125916665823,426.052531630405,534.199301701242
30,NA,"icu_occupancy",30,1,1,1
30,NA,"icu_mean_queue",30,102.857256860908,85.7592751550059,119.955238566809
30,NA,"total_rtd",30,2283.83333333333,2258.24740906672,2309.41925759994
30,NA,"total_dow",30,18.1666666666667,16.6759958070223,19.657337526311
30,NA,"dispositions",30,2044.23333333333,2002.96950146057,2085.49716520609
30,NA,"in_theatre_share",30,0.260017098949062,0.253536285617586,0.266497912280538
30,NA,"post_definitive_icu_share",30,0.0517055035364132,0.041655865288777,0.0617551417840494
30,NA,"evac_decisions",30,1552.36666666667,1509.7566551037,1594.97667822964
30,NA,"never_evacuated",30,300.033333333333,267.40434629133,332.662320375337
30,NA,"mean_evac_wait_days",30,23.7009820463151,21.4089504639251,25.993013628705
30,NA,"role4_sustained",30,54.1889226621012,50.4927428105842,57.8851025136183
30,NA,"role4_peak",30,108.133333333333,103.28278575003,112.983880916637
30,NA,"theatre_mean_queue",30,1.2664014310892,0.876137872543021,1.65666498963538
30,NA,"released_unrepaired",30,41.6,27.2322356203731,55.9677643796269
30,NA,"role4_operations",30,635.9,605.783003210165,666.016996789834
30,NA,"role4_theatre_minutes",30,1982.95340950765,1210.93058532846,2754.97623368684
30,NA,"hold_beds",0,NA,NA,NA
45,NA,"hold_occupancy",30,1,1,1
45,NA,"hold_mean_queue",30,1448.98975018979,1404.55174467107,1493.4277557085
45,NA,"icu_occupancy",30,1,1,1
45,NA,"icu_mean_queue",30,45.3564122101642,39.832195584588,50.8806288357404
45,NA,"total_rtd",30,2220,2202.3541501969,2237.6458498031
45,NA,"total_dow",30,15.6666666666667,13.7821208394381,17.5512124938952
45,NA,"dispositions",30,1289.4,1270.18760014786,1308.61239985214
45,NA,"in_theatre_share",30,0.597832296274569,0.588198876882937,0.607465715666201
45,NA,"post_definitive_icu_share",30,0.0419433765889013,0.0340581881982705,0.0498285649795321
45,NA,"evac_decisions",30,552.033333333333,533.755629804689,570.311036861978
45,NA,"never_evacuated",30,293.6,282.187506532381,305.012493467619
45,NA,"mean_evac_wait_days",30,80.9691263388012,77.6166882806766,84.3215643969259
45,NA,"role4_sustained",30,11.427763770818,10.5777799845049,12.2777475571312
45,NA,"role4_peak",30,34.5,31.3947699139969,37.6052300860031
45,NA,"theatre_mean_queue",30,0.94030223971231,0.723209499973666,1.15739497945095
45,NA,"released_unrepaired",30,16.1666666666667,12.006183631972,20.3271497013614
45,NA,"role4_operations",30,156.733333333333,141.553484743655,171.913181923012
45,NA,"role4_theatre_minutes",30,503.032106700569,290.798819041982,715.265394359155
45,NA,"hold_beds",0,NA,NA,NA
60,NA,"hold_occupancy",30,1,1,1
60,NA,"hold_mean_queue",30,1632.12733681496,1587.70019349532,1676.55448013461
60,NA,"icu_occupancy",30,1,1,1
60,NA,"icu_mean_queue",30,24.6341900710982,21.1714203349289,28.0969598072676
60,NA,"total_rtd",30,2166.4,2145.96473073845,2186.83526926155
60,NA,"total_dow",30,15.4333333333333,14.0827790754108,16.7838875912559
60,NA,"dispositions",30,1092.23333333333,1066.57486358184,1117.89180308483
60,NA,"in_theatre_share",30,0.806711504269329,0.798041735175964,0.815381273362695
60,NA,"post_definitive_icu_share",30,0.0539407472643768,0.0420822652892055,0.0657992292395482
60,NA,"evac_decisions",30,247.766666666667,233.350100083663,262.18323324967
60,NA,"never_evacuated",30,151.3,141.420042586662,161.179957413338
60,NA,"mean_evac_wait_days",30,87.8400288035408,84.1181951740491,91.5618624330325
60,NA,"role4_sustained",30,4.40043308651699,3.95681519006906,4.84405098296493
60,NA,"role4_peak",30,20,17.3144819131259,22.6855180868741
60,NA,"theatre_mean_queue",30,0.880446927890502,0.654198103673847,1.10669575210716
60,NA,"released_unrepaired",30,10.9,8.17476143882836,13.6252385611716
60,NA,"role4_operations",30,91,81.7421657024267,100.257834297573
60,NA,"role4_theatre_minutes",30,419.909664081466,252.932544283418,586.886783879514
60,NA,"hold_beds",0,NA,NA,NA
