"policy_days","hold_occupancy","hold_mean_queue","icu_occupancy","icu_mean_queue","total_rtd","total_dow","dispositions","in_theatre_share","post_definitive_icu_share","evac_decisions","never_evacuated","mean_evac_wait_days","role4_sustained","role4_peak","theatre_mean_queue","released_unrepaired","role4_operations","role4_theatre_minutes","replication","hold_beds"
21,0.439668171132574,0,0.85406008512789,0.39119664715621,2152,18,2581,0.101511042231693,0.339920948616601,2336,0,0.242028687304533,81.9354838709677,176,1.03364816018011,121,1106,13836.8787918873,1,NA
21,0.414967069897488,0,0.798683744855795,0.148734670325737,2062,17,2350,0.114893617021277,0.373341375150784,2105,0,0.228081861050255,71.4117647058823,174,0.463705714970656,90,919,10608.3817186746,2,NA
21,0.567640568866764,0.723684684075139,0.89201135324317,1.24790982824076,2084,15,2614,0.105202754399388,0.296727676095397,2363,0,0.367726887143046,102.530769230769,165,3.70073679922183,199,1192,22414.5364852769,3,NA
21,0.533776002759106,0,0.836573837803466,0.449594551197675,2134,19,2687,0.106066244882769,0.259820426487093,2438,0,1.61629357703934,78.0692307692308,195,1.69976158837384,216,1188,25138.0195299672,4,NA
21,0.447512735513665,0,0.809297169560338,0.361868569346557,2088,20,2515,0.104970178926441,0.31100757134537,2273,0,0.48472597103366,70.9615384615385,200,1.12746512193642,155,1060,17324.0704170021,5,NA
21,0.483900666500855,0,0.865509371047593,0.688997884332024,2015,18,2323,0.105467068445975,0.346085932901707,2095,3,0.257856698445793,93.4214876033058,147,2.04057828205452,99,1046,10665.781513742,6,NA
21,0.642642484841316,1.47791753863551,0.836153223497899,0.432103231188159,2061,16,2388,0.123534338358459,0.343975903614458,2105,0,0.458884507103487,80.7651515151515,190,1.76512269943655,94,923,10685.1859718593,7,NA
21,0.48059789231617,0,0.861584798767622,0.679961290880158,2296,19,2715,0.104235727440147,0.303561935140883,2451,1,0.236572534186845,104.007874015748,169,3.93022562359591,157,1208,18227.9090537598,8,NA
21,0.540984393098442,0,0.901446608090637,0.819551631913637,2146,17,2508,0.106858054226475,0.339154929577465,2253,11,0.234237498266724,103.889763779528,176,3.52320360228565,114,1071,12555.5991481668,9,NA
21,0.467747434388189,0,0.886900606751176,0.60335324853983,2186,18,2812,0.112019914651494,0.240526315789474,2533,1,1.18387952802252,97.8861788617886,194,2.2668218700583,199,1167,23094.2225004776,10,NA
21,0.483871240859881,0,0.908563247177999,0.830261876028335,2021,16,2540,0.0988188976377953,0.298206278026906,2313,4,0.639471623262969,105.484375,187,3.22384943999005,147,1196,17515.9992607977,11,NA
