"response","from","to","n_pairs","difference","ci_lower","ci_upper","p_value","reps_needed"
"total_dow",21,15,30,-0.1,-2.30877400437943,2.10877400437943,0.92686148930218,135
"total_rtd",21,15,30,-158.466666666667,-199.735397856734,-117.197935476599,1.16260595296589e-08,470
"role4_peak",21,15,30,8.96666666666667,0.476870341778779,17.4564629915546,0.0391664711589348,80
"hold_occupancy",21,15,30,-0.25468441870291,-0.290103486289888,-0.219265351115933,5.586664618861e-15,346
"icu_occupancy",21,15,30,0.004994915241551,-0.00809168313236279,0.0180815136154648,0.441347863385681,48
"post_definitive_icu_share",21,15,30,-0.00422194249197264,-0.0212145462707639,0.0127706612868186,0.615189839033205,80
"total_dow",21,30,30,-0.966666666666667,-3.18007958720141,1.24674625386807,0.379094420939342,135
"total_rtd",21,30,30,116.366666666667,69.1841714127617,163.549161920572,2.24353031650122e-05,614
"role4_peak",21,30,30,-69.5,-77.8425580827178,-61.1574419172822,1.2024364934748e-16,77
"hold_occupancy",21,30,30,0.426212479543588,0.389531762053946,0.462893197033231,1.4608642782158e-20,371
"icu_occupancy",21,30,30,0.120423670947599,0.109628526530705,0.131218815364493,4.49590800833298e-20,33
"post_definitive_icu_share",21,30,30,-0.295701758421269,-0.309572856949901,-0.281830659892637,5.42539610192644e-28,54
"total_dow",21,45,30,-2.33333333333333,-4.60008312142392,-0.066583545242743,0.0440423432946373,142
"total_rtd",21,45,30,45.4666666666667,5.62847645842014,85.3048568749132,0.0267207753073363,438
"role4_peak",21,45,30,-136.166666666667,-142.426542185658,-129.906791147676,3.04757494261499e-28,44
"hold_occupancy",21,45,30,0.426212479543588,0.389531762053946,0.462893197033231,1.46086427821582e-20,371
"icu_occupancy",21,45,30,0.120423670947599,0.109628526530705,0.131218815364493,4.49590800833298e-20,33
"post_definitive_icu_share",21,45,30,-0.290179181397967,-0.304562490077251,-0.275795872718683,2.61759071152663e-27,57
"total_dow",21,60,30,-0.733333333333333,-3.56003868165959,2.09337201499293,0.599739675571958,221
"total_rtd",21,60,30,12.3,-28.5148274834242,53.1148274834242,0.542470241336954,459
"role4_peak",21,60,30,-156.066666666667,-161.884545458764,-150.248787874569,7.48164181502207e-31,38
"hold_occupancy",21,60,30,0.426212479543588,0.389531762053946,0.462893197033231,1.4608642782158e-20,371
"icu_occupancy",21,60,30,0.120269536638202,0.109512131483157,0.131026941793246,4.22928366990864e-20,32
"post_definitive_icu_share",21,60,30,-0.275100024335264,-0.289720486105227,-0.260479562565302,1.90857128943375e-26,59
