"response","from","to","n_pairs","difference","ci_lower","ci_upper","p_value","reps_needed"
"theatre_mean_queue",0,1,30,-6.29275560500584,-10.5199113594578,-2.06559985055392,0.00491810393882544,493
"icu_occupancy",0,1,30,0.0241021943057967,0.00932891901991908,0.0388754695916744,0.00233430846206817,61
"post_definitive_icu_share",0,1,30,-0.0594854117445796,-0.0744178554906881,-0.0445529679984712,5.52527467295921e-09,62
"released_unrepaired",0,1,30,283.8,262.797165269723,304.802834730277,2.196994192787e-22,12154
"role4_operations",0,1,30,349.766666666667,296.860216993493,402.673116339841,4.73175659834799e-14,77118
"role4_peak",0,1,30,11.0333333333333,1.70076407083921,20.3659025958274,0.0221187309857125,96
"total_dow",0,1,30,2.8,0.375287970016781,5.22471202998322,0.0251163640875843,162
"total_rtd",0,1,30,-7.4,-43.1689234037894,28.3689234037894,0.675326032725817,353
"theatre_mean_queue",0,2,30,-6.17276499423118,-9.63864216324463,-2.70688782521773,0.00104576871334913,331
"icu_occupancy",0,2,30,0.00677115447478944,-0.00913571702296277,0.0226780259725416,0.391121021211196,70
"post_definitive_icu_share",0,2,30,-0.0398729396370082,-0.0585345526863938,-0.0212113265876226,0.000145383006000472,96
"released_unrepaired",0,2,30,224.766666666667,205.632987399038,243.900345934295,1.08004118177911e-20,10087
"role4_operations",0,2,30,284.133333333333,221.27976052713,346.986906139536,3.79262280213223e-10,108842
"role4_peak",0,2,30,9.7,-0.265238392768545,19.6652383927685,0.0560009620789823,110
"total_dow",0,2,30,0.266666666666667,-2.15513533746527,2.68846867079861,0.82340159907064,162
"total_rtd",0,2,30,0.766666666666667,-39.337231947414,40.8705652807474,0.969079643155636,444
"theatre_mean_queue",0,3,30,-4.95767489134683,-9.82658439821336,-0.0887653844802943,0.0462239183552029,654
"icu_occupancy",0,3,30,0.00864750679691737,-0.00717007258197263,0.0244650861758074,0.27268798528397,69
"post_definitive_icu_share",0,3,30,-0.0363639191586125,-0.058601822212796,-0.014126016104429,0.00228837603261369,137
"released_unrepaired",0,3,30,207.966666666667,180.422887956489,235.510445376844,1.58354903284544e-15,20902
"role4_operations",0,3,30,253.7,175.041048401599,332.358951598401,3.14514413145611e-07,170463
"role4_peak",0,3,30,7.26666666666667,-5.04536559304593,19.5786989263793,0.237143048063657,168
"total_dow",0,3,30,-0.1,-2.72641289080795,2.52641289080795,0.938465012230676,191
"total_rtd",0,3,30,8.13333333333333,-35.6988121049157,51.9654787715824,0.707077529593201,530
"theatre_mean_queue",0,5,30,-5.83228618767721,-10.1045982907617,-1.55997408459268,0.00917438302920665,503
"icu_occupancy",0,5,30,0.011170863082872,-0.00397595397587694,0.0263176801416208,0.142278628249625,64
"post_definitive_icu_share",0,5,30,-0.0280486652242973,-0.0477064759122785,-0.00839085453631612,0.00673668039432144,107
"released_unrepaired",0,5,30,172.966666666667,148.613201043323,197.320132290011,7.6683214351208e-15,16341
"role4_operations",0,5,30,221.733333333333,157.414273756864,286.052392909803,9.35559350473704e-08,113976
"role4_peak",0,5,30,9.73333333333333,-1.66496777471956,21.1316344413862,0.0913135127088355,144
"total_dow",0,5,30,0.2,-2.21676734273403,2.61676734273403,0.866772474023697,161
"total_rtd",0,5,30,-18.2333333333333,-58.3898286034258,21.9231619367592,0.360735807482838,445
