"scenario","replication","group","mean_q"
"moderate_intensity",1,"R2B Hold",3.16429329728727
"moderate_intensity",1,"R2B OT",0
"moderate_intensity",1,"R2E Hold",0
"moderate_intensity",1,"R2E ICU",0.274535959126474
"moderate_intensity",1,"R2E OT",0.405696537347757
"moderate_intensity",1,"Transport",0.00218876812808297
"moderate_intensity",2,"R2B Hold",8.73211234072575
"moderate_intensity",2,"R2B OT",0
"moderate_intensity",2,"R2E Hold",0.297827275390266
"moderate_intensity",2,"R2E ICU",0.680489329234733
"moderate_intensity",2,"R2E OT",1.76803995028107
"moderate_intensity",2,"Transport",0.0110032603212974
"moderate_intensity",3,"R2B Hold",8.78701223719502
"moderate_intensity",3,"R2B OT",0
"moderate_intensity",3,"R2E Hold",0.148589811404236
"moderate_intensity",3,"R2E ICU",0.924904445396886
"moderate_intensity",3,"R2E OT",3.02995262194528
"moderate_intensity",3,"Transport",0.0126488687433723
"moderate_intensity",4,"R2B Hold",26.3742863099054
"moderate_intensity",4,"R2B OT",0
"moderate_intensity",4,"R2E Hold",25.0065290133634
"moderate_intensity",4,"R2E ICU",31.6917479883861
"moderate_intensity",4,"R2E OT",14.0640232717152
"moderate_intensity",4,"Transport",3.79545161409115
"moderate_intensity",5,"R2B Hold",3.53390941090755
"moderate_intensity",5,"R2B OT",0
"moderate_intensity",5,"R2E Hold",0.963523994669135
"moderate_intensity",5,"R2E ICU",0.280091299615826
"moderate_intensity",5,"R2E OT",1.07028882705254
"moderate_intensity",5,"Transport",0.00322603244986247
"moderate_intensity",6,"R2B Hold",3.51428543180479
"moderate_intensity",6,"R2B OT",0
"moderate_intensity",6,"R2E Hold",0.004323778472868
"moderate_intensity",6,"R2E ICU",0.184246579656578
"moderate_intensity",6,"R2E OT",0.485285055766439
"moderate_intensity",6,"Transport",0.000985876253845748
"moderate_intensity",7,"R2B Hold",2.82401424816303
"moderate_intensity",7,"R2B OT",0
"moderate_intensity",7,"R2E Hold",5.12236398888307
"moderate_intensity",7,"R2E ICU",0.179556905239018
