"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",16.2693834169947,12.1944602590538,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"pri1_surg_prob",7.14766509939914,7.98859303119191,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"pri1_dcs_rate",6.50008881465372,7.94395632770452,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"mass_casualty_max_cas",5.87598119620779,9.06642536844934,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"mass_casualty_min_cas",5.42162088425624,7.19265672326885,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"pri2_evac_prob",4.72621920444159,6.57025592664911,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"evacuation_policy_days",4.59105676683549,5.97932710759696,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"wia_spt_mean",3.90115819180218,6.84809420135435,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"ot_hours",3.89670020606039,4.7751558934377,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r1_recovery_mode",3.81163079173763,6.63292031651937,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r1_wia_treat_mode",3.76936089188585,6.60413575436755,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"kia_spt_mean",3.72304603426309,5.95599258168053,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"pri1_evac_prob",3.68840651239746,5.11780938373007,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"long_resus_mode",3.58831714061251,6.79300592438,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2b_pre_open_window",3.44531169090428,5.37206049767424,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"pri2_dcs_rate",3.42558296987837,4.53697776329257,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"mc_p2_p3_balance",3.17688114301625,5.95609466830042,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"triage_p2_p3_balance",3.16105337120545,4.63355041247181,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"triage_p1_balance",3.15991618626697,3.92063561946309,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"post_op_hold_mode",3.14258211093833,3.64178572348795,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"stabilisation_icu_mode",3.04394749937028,4.20086934830744,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"surg_mode",3.01107328847099,3.57786847230286,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2b_hold_mode",3.00695641510868,5.0461016810218,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"dnbi_bf_nbi_balance",2.98063669782709,4.43824491430002,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"kia_cbt_mean",2.76814308545872,4.69838566889128,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"wia_cbt_mean",2.751349160403,3.36220966808806,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"short_resus_mode",2.59986477246867,4.5553323191982,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"dnbi_cbt_mean",2.55541276631594,4.00436722582869,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"post_definitive_icu_mode",2.55494415919768,3.35640072590906,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"dnbi_spt_mean",2.54389314790085,4.20207454512964,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"mc_p1_balance",2.54078763730419,6.09173391129184,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2b_hold_threshold",2.4144896790544,3.49247064879109,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"fr_demand_interval_days",2.37115621968342,3.88979811563759,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"dnbi_disease_balance",2.30857270104506,2.61888776379968,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2e_hold_mode",2.27763467780464,4.79104635362109,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"p1_t_mid",2.17998930043152,3.77603289459664,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2b_transport",2.13122007144348,3.44866662339588,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r1_transport",2.09213973081789,3.64985220968342,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"ame_schedule_interval_days",2.05098088851712,2.9577659687426,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"disease_surgery_pct",1.88381235345672,2.77507476311719,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r1_tccc_factor",1.87904576983873,3.80880354598437,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"pri3_other_surg_prob",1.70639718005166,3.20939682389131,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"pri2_surg_prob",1.62424529290927,2.58546347707898,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2b_icu_share",1.34665548144031,2.55860141056432,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"p1_p_max",1.25932019401567,1.56990594043908,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2b_forward_hold_max",1.24999066786741,2.95200930577676,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"p2_p_max",1.04146964824631,2.26901127851721,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"pri3_dnbi_surg_prob",1.02139125826029,1.6659137969989,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"fr_fulfillment_lag_days",0.92267850944451,1.55173535760509,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"p1_p_base",0.580758642303794,1.20999827765772,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"p1_k",0.553674306962883,1.64637695968157,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"pri3_dcs_rate",0.374280003575779,0.89309808304073,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"p2_t_mid",0.343261434444454,0.696807877024752,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"ame_failure_probability",0.290049377661864,0.549921723205437,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"fr_fill_mode_frac",0.205947767933414,0.459818141288952,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2e_postop_hold_penalty",0.19516245298364,0.871969025051538,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2b_resus_factor",0.142512994933223,0.618991591123894,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2e_resus_factor",0.0578058417880905,0.23880946988432,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"p2_p_base",0.0494638974083016,0.217213615688585,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2e_dcs2_factor",0.0187827451592564,0.062809069840909,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"p2_k",0.0162938424410546,0.0487655595262871,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2b_dcs_factor",0.0102812959462612,0.0408835387704401,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"p3_flat",0,0,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2e_dcs1_factor",0,0,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
"r2b_icu_penalty",0,0,20,"system_ot_q","C3, C4",6.19333030344527,8.14455685719742,0,FALSE,""
