"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"ame_schedule_interval_days",14.2375823838177,9.71613590312472,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"mass_casualty_rate",10.9611244037369,7.2095873361722,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"evacuation_policy_days",9.73203012970484,10.5327737882734,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"pri1_surg_prob",8.11943111432103,6.29883948233333,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"mc_p1_balance",5.79293897634477,5.86819243592692,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"pri1_dcs_rate",5.44232943607395,7.02770458039737,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"mass_casualty_min_cas",5.29822915947499,8.0779638233444,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"triage_p1_balance",5.168643791473,5.65153766196914,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"pri1_evac_prob",5.03623701614585,5.67247408054194,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"dnbi_spt_mean",4.80278581705954,8.10385808923545,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"post_definitive_icu_mode",4.47846618721105,6.8519787186336,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"kia_spt_mean",4.04977527243348,5.17917280580197,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"r2b_evac_threshold",4.04694040162658,5.23404263273058,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"wia_spt_mean",4.01436214430839,5.37350362367345,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
"wia_cbt_mean",3.96435713614571,3.92474799954651,20,"ame_backlog_critical_mean","C3, C4, C5",14.5558775998525,9.13342708191822,0,FALSE,""
