"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"evacuation_policy_days",25.05,23.6321279973728,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"mass_casualty_rate",20.535,17.0166876299336,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"ame_schedule_interval_days",20.28,18.0990433012646,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"pri1_surg_prob",19.35,16.3564376510162,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"mc_p1_balance",11.37,10.9623326369028,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"pri1_dcs_rate",11.025,14.267905647955,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"pri1_evac_prob",10.155,11.2538309266807,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"mass_casualty_min_cas",9.69,16.1159809538626,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"triage_p1_balance",9.495,11.9308302530174,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"post_definitive_icu_mode",8.7,11.7678598868184,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"kia_spt_mean",8.235,11.5817403928043,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"wia_spt_mean",7.92,11.4274323680482,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"surg_mode",7.86,10.8793575661724,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"dnbi_cbt_mean",7.605,10.2418375715545,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"mass_casualty_kia_fraction",7.575,8.51663851404692,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"saturation_queue_threshold",7.215,10.9421673500175,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"r2b_evac_threshold",7.125,9.91308943292973,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"dnbi_spt_mean",6.915,11.317209763988,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"mass_casualty_max_cas",6.87,12.801582961329,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"r1_transport",6.78,8.53254450849649,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
"dnbi_disease_balance",6.72,9.1599471384363,20,"ame_backlog_critical_peak","C3, C4, C5",29.2039240506329,17.4416478642994,0,FALSE,""
