"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"evacuation_policy_days",6.76662840526982,6.70578631887148,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"ame_schedule_interval_days",6.25865762015173,7.59416979658372,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"mass_casualty_rate",6.09930723489157,8.11029919746317,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"pri1_surg_prob",5.40552060794721,4.72385451856004,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"dnbi_disease_balance",4.53240865230295,6.56290795114827,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"dnbi_cbt_mean",4.06426267866902,4.77882991675341,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"pri1_evac_prob",4.0094932904755,4.44885089222068,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"r2e_icu_beds",3.84230506811919,7.06731841506293,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"pri2_evac_prob",3.71739278088125,3.74034135003908,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"triage_p2_p3_balance",3.71299341674257,4.41722914644925,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"pri2_dcs_rate",3.49051472041168,4.66299208532457,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"post_definitive_icu_mode",3.43129918946013,5.74125978245036,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
"r2b_transport",3.31058162511547,5.4385565607264,20,"ame_backlog_standard_mean","C3, C4, C5",7.10898826075926,7.88112380299095,0,FALSE,""
