"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"ame_schedule_interval_days",14.78125,17.3759529746232,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"mass_casualty_rate",14.44875,14.2159761753606,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"evacuation_policy_days",14.3775,14.3738969828535,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"pri1_surg_prob",10.995,13.0656349171969,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"pri1_evac_prob",8.64,9.786139500119,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"mass_casualty_max_cas",7.2975,11.8728402468119,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"triage_p2_p3_balance",6.93,7.84354243277467,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r2b_evac_threshold",6.615,9.32440346617412,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"dnbi_disease_balance",6.585,9.00445942151355,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"dnbi_spt_mean",6.045,7.97207461607144,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"ame_failure_probability",6,7.06277118715489,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"wia_cbt_mean",5.91,8.51086611957109,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"dnbi_cbt_mean",5.91,6.26236881362753,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"surg_mode",5.66,8.95309414319106,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"pri2_surg_prob",5.565,7.19043772915405,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"pri2_evac_prob",5.5275,6.29990131501656,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"kia_cbt_mean",5.45625,8.08153139392854,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"ot_hours",5.19,8.05655013017359,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"mass_casualty_kia_fraction",5.085,7.39055407081798,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"post_definitive_icu_mode",4.86,6.52420594079423,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"stabilisation_icu_mode",4.7475,7.04327366693702,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r2b_hold_threshold",4.695,6.69213796378376,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"kia_spt_mean",4.59375,6.60893272596384,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r1_transport",4.49625,7.32823610481368,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r2e_hold_mode",4.41,6.49072212347829,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"post_op_hold_mode",4.395,6.67867580634932,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"mc_p1_balance",4.29375,5.42944139682702,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r2b_pre_open_window",4.28625,6.73486351110086,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r2e_vent_share",4.22625,6.65676286015326,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"pri1_dcs_rate",4.05375,5.1912088833963,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"disease_surgery_pct",3.91875,5.88812852830078,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"triage_p1_balance",3.81875,5.48489117941277,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"wia_spt_mean",3.7275,5.24376509470257,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r2b_hold_mode",3.6975,5.33021797717603,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"fr_demand_interval_days",3.60375,5.0477944310779,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"pri2_dcs_rate",3.60125,5.32810617954694,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"dnbi_bf_nbi_balance",3.555,6.34179743738651,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r1_wia_treat_mode",3.5475,4.30181341810759,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"mass_casualty_min_cas",3.51,5.43288234055513,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"long_resus_mode",3.3225,4.58634271219282,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r2b_transport",3.09,4.40908153700972,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"mc_p2_p3_balance",2.895,4.66941616997468,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r2e_critical_hold_mode",2.88375,4.34976008866551,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r2b_icu_share",2.83625,5.57400141516988,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"short_resus_mode",2.7975,4.80902728429073,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r1_recovery_mode",2.59125,4.05396552934998,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r2b_forward_hold_max",2.58,4.94830114388022,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"pri3_dcs_rate",2.505,7.44992228853853,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"p1_p_max",2.335,3.27727020552166,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"reconstruction_share",2.28,3.16877861245257,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"saturation_queue_threshold",2.2275,3.94326457726536,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"fr_fulfillment_lag_days",2.00625,3.98596117807962,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"p1_t_mid",1.965,3.82020597405566,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"r1_tccc_factor",1.94625,2.77382354151696,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"pri3_dnbi_surg_prob",1.90875,3.17585955003979,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
"pri3_other_surg_prob",1.86,2.34388341725526,20,"ame_backlog_standard_peak","C3, C4, C5",15.3360126582278,12.2520792573133,0,FALSE,""
