"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"evacuation_policy_days",7.575,6.07755794100852,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"mass_casualty_rate",2.265,2.15296001869641,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"dnbi_disease_balance",1.98,2.76003432472935,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"r2b_pre_open_window",1.95,2.58711381557458,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"triage_p1_balance",1.935,2.31209064655665,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"r2e_vent_share",1.815,2.21712829911506,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"mc_p2_p3_balance",1.74,2.70333127825651,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"triage_p2_p3_balance",1.725,2.09994360826541,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"ame_schedule_interval_days",1.695,2.01898228661972,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"dnbi_cbt_mean",1.68,2.20561484446067,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"wia_spt_mean",1.635,2.11433080118559,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"kia_spt_mean",1.605,1.92924173814754,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"r1_recovery_mode",1.59,1.87627851147733,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"r2b_hold_mode",1.59,2.39426947434692,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"pri1_dcs_rate",1.59,1.9698784360035,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"surg_mode",1.575,2.13084490284957,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"pri1_evac_prob",1.56,1.29639175365603,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"r2b_transport",1.545,2.00249186870023,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"r2b_evac_threshold",1.545,2.50710044305747,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"wia_cbt_mean",1.53,1.90235311349419,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"short_resus_mode",1.5,2.40512610458316,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"disease_surgery_pct",1.485,1.93316620572246,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"dnbi_bf_nbi_balance",1.47,1.90484147703466,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"stabilisation_icu_mode",1.455,2.17528582513945,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
"pri2_surg_prob",1.44,1.81728542496479,20,"ame_sortie_demand","C2, C4, C5",25.0591139240506,3.788415958924,0,FALSE,""
