"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"ame_schedule_interval_days",4.815,1.95509455956537,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"ame_failure_probability",1.08,0.762682247417833,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"mass_casualty_rate",0.645,1.05045103094864,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"kia_spt_mean",0.585,0.899868411432881,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"mass_casualty_max_cas",0.555,0.888212279036706,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"dnbi_disease_balance",0.555,0.749368154900478,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"dnbi_spt_mean",0.54,0.843488994718085,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"dnbi_cbt_mean",0.51,0.740625624583347,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2e_vent_share",0.48,0.681329968749203,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2b_transport",0.48,0.70120197555791,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r1_transport",0.465,0.670643838333535,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2b_hold_mode",0.435,0.563144367766711,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2e_critical_hold_mode",0.435,0.591051694239309,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"triage_p2_p3_balance",0.435,0.510185724696615,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"kia_cbt_mean",0.435,0.690137286113575,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"surg_mode",0.435,0.622283570492796,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"pri2_surg_prob",0.435,0.774239864913356,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2b_evac_threshold",0.435,0.898815009361009,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"triage_p1_balance",0.405,0.755662832081527,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"ot_hours",0.39,0.583185444912589,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"pri1_evac_prob",0.39,0.564194815177953,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"mc_p2_p3_balance",0.375,0.569833770775118,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r1_recovery_mode",0.36,0.460663137569949,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"pri2_dcs_rate",0.36,0.694413800493473,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"evacuation_policy_days",0.36,0.549736779118688,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"post_op_hold_mode",0.345,0.571493887244557,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"p1_p_max",0.345,0.563144367766711,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2e_hold_mode",0.345,0.595840847701359,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"disease_surgery_pct",0.345,0.540832691319598,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"pri1_dcs_rate",0.345,0.485446078093996,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"pri2_evac_prob",0.33,0.623993927095955,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"short_resus_mode",0.33,0.53222472499381,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"mass_casualty_min_cas",0.315,0.57808668080688,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"pri3_other_surg_prob",0.315,0.523022591843744,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2b_icu_share",0.3,0.536656314599949,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"fr_fulfillment_lag_days",0.3,0.545411481553631,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"pri1_surg_prob",0.285,0.39266297320516,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"wia_cbt_mean",0.285,0.469574275274956,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"fr_demand_interval_days",0.285,0.440424436436634,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"long_resus_mode",0.285,0.44894613438468,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"post_definitive_icu_mode",0.285,0.523022591843744,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r1_wia_treat_mode",0.27,0.487636620532349,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"pri3_dnbi_surg_prob",0.255,0.48933359625214,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2b_pre_open_window",0.255,0.440424436436634,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"stabilisation_icu_mode",0.255,0.416090830164963,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2b_hold_threshold",0.24,0.388112843059037,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"wia_spt_mean",0.24,0.370632460872805,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"mc_p1_balance",0.225,0.404546529755036,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"mass_casualty_kia_fraction",0.225,0.491265819351558,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"dnbi_bf_nbi_balance",0.21,0.419774375487344,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"pri3_dcs_rate",0.21,0.59285216050085,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2b_forward_hold_max",0.195,0.4068815940528,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"p1_t_mid",0.18,0.423146111383464,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"saturation_queue_threshold",0.165,0.354631016543585,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"p2_p_max",0.135,0.247673384244569,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"fr_fill_mode_frac",0.12,0.238415824271708,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"reconstruction_share",0.12,0.197084005599536,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"p1_p_base",0.12,0.236420677695724,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"p1_k",0.105,0.227746396354874,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r1_tccc_factor",0.075,0.153125335660212,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"p2_k",0.0600000000000001,0.168585446084705,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"p2_t_mid",0.06,0.165751875435925,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2e_dcs2_factor",0.03,0.134164078649987,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2b_icu_penalty",0.015,0.0670820393249938,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"p2_p_base",0.015,0.0670820393249938,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2b_resus_factor",0.015,0.0670820393249936,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2e_dcs1_factor",0.015,0.0670820393249936,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2e_postop_hold_penalty",0.0149999999999999,0.0670820393249934,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"p3_flat",0,0,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2b_dcs_factor",0,0,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"r2e_resus_factor",0,0,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"role4_return_interval_mode",0,0,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"role4_post_reconstruction_return_rate",0,0,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"role4_los_p1_surgical_mode",0,0,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"role4_los_p1_nonsurgical_mode",0,0,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"role4_los_p2_mode",0,0,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"role4_los_p3_dnbi_mode",0,0,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
"role4_icu_continuation_mode",0,0,20,"ame_sorties_flown","C3, C4, C5",3.43924050632911,1.77251678758183,0,FALSE,""
