"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"ame_schedule_interval_days",10506.6038436401,4670.66280643216,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"evacuation_policy_days",4953.39669760412,5695.6642822041,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"r1_wia_treat_mode",4398.00547694447,6345.11989040601,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"triage_p2_p3_balance",4370.02856942352,5731.7269319262,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"kia_cbt_mean",4151.32333148349,5677.3554806317,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"kia_spt_mean",4042.65242036717,6350.4538164255,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"dnbi_cbt_mean",3945.48938933083,5636.42712022442,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"mass_casualty_rate",3898.31369058353,4571.06180921247,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"wia_cbt_mean",3818.34953652289,5025.72307019927,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"post_op_hold_mode",3650.58119850122,5263.51207808349,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"surg_mode",3630.40772853128,5777.06623042499,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"dnbi_bf_nbi_balance",3625.77514033578,5071.80119145479,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"dnbi_disease_balance",3499.89254688796,5508.14418205213,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"fr_demand_interval_days",3388.86727966468,4660.77615568181,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"pri3_other_surg_prob",3237.49700253229,5228.87683714997,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"triage_p1_balance",3226.24508242399,3443.88864286736,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"r2b_pre_open_window",3209.58805610925,3905.74610924679,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"r2b_hold_mode",3133.66303362371,4593.37892602163,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"pri1_dcs_rate",3048.08090977429,4564.77606655224,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"r2b_transport",3031.49289197148,4475.27752906596,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"r2e_hold_mode",3030.75620215895,4541.72452323921,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"stabilisation_icu_mode",3009.52868667613,4091.9059271327,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"wia_spt_mean",3004.48577871545,3528.77177058279,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"mass_casualty_max_cas",2965.92087559294,4883.48400472893,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"r1_recovery_mode",2861.64214504873,4583.39335265267,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"short_resus_mode",2842.43108117964,4027.79527137608,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
"pri1_surg_prob",2814.86573707179,4432.65989677656,20,"ame_wait_critical_mean","C2, C4, C5",6807.36721348377,4465.35803997023,0,FALSE,""
