"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"ame_schedule_interval_days",9030.75771367978,4272.51427314766,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"evacuation_policy_days",4756.12005649069,4632.27809021526,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"dnbi_disease_balance",3979.7783928575,6428.78520766756,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"surg_mode",3910.22112701869,5429.49222797226,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"mass_casualty_rate",3789.46336950647,4908.57124368567,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"dnbi_spt_mean",3722.01724654055,6057.05574022898,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"short_resus_mode",3577.02483321847,6632.77010835327,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"mc_p2_p3_balance",3438.55354837609,6385.44075460526,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"pri2_evac_prob",3433.38770155523,4935.95760793589,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"ot_hours",3278.92350719109,5529.35941419682,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"mass_casualty_max_cas",3205.94223031884,5005.10930671039,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"r2b_evac_threshold",3140.69295638108,5075.59073786006,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"r2b_hold_threshold",2994.55169785667,4716.59013561181,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"fr_demand_interval_days",2973.47948558687,4764.47304793303,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"r1_wia_treat_mode",2815.37809730366,4165.8209114643,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"pri2_dcs_rate",2715.10153480634,3790.07078870991,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"r2e_hold_mode",2680.79204879988,3857.75661673992,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"post_definitive_icu_mode",2670.54222500328,3837.37651225001,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
"ame_failure_probability",2582.91284627606,3486.28197608109,20,"ame_wait_standard_mean","C2, C4, C5",5146.73676196901,3957.08655875331,0,FALSE,""
