"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",4.005,2.07452594458031,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"p1_p_max",3.39,1.99140257369682,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"dnbi_cbt_mean",1.935,2.42723039046998,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r1_transport",1.905,2.51276216228487,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"kia_spt_mean",1.845,2.41941162921462,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2b_pre_open_window",1.68,2.14043773191619,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"mass_casualty_min_cas",1.68,2.15697156119163,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"long_resus_mode",1.62,2.01481356065779,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"pri2_evac_prob",1.59,1.80892524066524,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"fr_demand_interval_days",1.575,1.9934828025871,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"short_resus_mode",1.56,1.96843512519597,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r1_recovery_mode",1.56,2.30824608740056,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"wia_cbt_mean",1.53,1.99591688467389,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2b_hold_mode",1.455,1.81956472527736,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"triage_p2_p3_balance",1.455,2.00249186870023,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"dnbi_bf_nbi_balance",1.425,1.88854580647595,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"triage_p1_balance",1.425,1.65544555935857,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"surg_mode",1.41,1.80236686492775,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"wia_spt_mean",1.41,1.11147128665235,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"mass_casualty_max_cas",1.395,1.50936549931629,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"p1_t_mid",1.38,1.68473018298886,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"pri1_dcs_rate",1.38,1.91203941822393,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"pri2_dcs_rate",1.35,1.70429797246472,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"pri1_surg_prob",1.32,1.79314484106907,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r1_tccc_factor",1.32,1.78281268018588,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"ot_hours",1.29,1.8154599243283,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"ame_schedule_interval_days",1.275,1.48723515997055,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2b_hold_threshold",1.26,1.5500084889411,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"dnbi_disease_balance",1.26,1.66350928999352,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"post_definitive_icu_mode",1.23,1.73460142547594,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"pri2_surg_prob",1.23,1.57366484761895,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"stabilisation_icu_mode",1.215,1.570878064885,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2e_hold_mode",1.185,1.40535629496205,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"post_op_hold_mode",1.155,1.50307579386579,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"kia_cbt_mean",1.155,1.49675965795588,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"pri3_other_surg_prob",1.14,1.40746132039962,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"dnbi_spt_mean",1.125,1.51562910335853,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"fr_fulfillment_lag_days",1.125,1.74623655478379,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"disease_surgery_pct",1.11,1.52163347132371,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"mc_p1_balance",1.095,1.66115844169695,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"pri1_evac_prob",1.05,1.29492938234606,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"evacuation_policy_days",1.02,1.30911782268985,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r1_wia_treat_mode",1.02,1.5346523693452,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2b_forward_hold_max",0.885,1.54288690447485,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"p2_p_max",0.87,1.44499134945508,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"mc_p2_p3_balance",0.81,1.36300751050176,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"p1_k",0.78,1.54939716630287,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"pri3_dnbi_surg_prob",0.72,1.00163025008969,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2b_transport",0.69,0.878695204924833,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"p1_p_base",0.6,1.05236575590929,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2b_icu_share",0.57,1.04559225221629,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"ame_failure_probability",0.525,0.836581389377406,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"p2_t_mid",0.375,0.634345912607708,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"fr_fill_mode_frac",0.36,0.568377191290209,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"p2_k",0.285,0.632850693291869,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2b_resus_factor",0.225,0.517560065164065,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2e_resus_factor",0.21,0.611727493509806,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"pri3_dcs_rate",0.135,0.326826849376981,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2b_dcs_factor",0.09,0.257518522583686,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2e_dcs2_factor",0.075,0.247673384244569,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2e_postop_hold_penalty",0.075,0.335410196624969,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"p2_p_base",0.075,0.191599912097551,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2e_dcs1_factor",0.03,0.134164078649987,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"p3_flat",0,0,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
"r2b_icu_penalty",0,0,20,"dow_count","C1, C2, C5",3.52287878787879,2.61401556561167,0,FALSE,""
