"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"short_resus_mode",0.000276928043804702,0.000391307286341402,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"r1_transport",0.000216563992653875,0.000521774830400911,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"r2b_hold_threshold",0.000214810257223045,0.000431194191723822,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"evacuation_policy_days",0.000208724625353377,0.000337983424910675,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"kia_cbt_mean",0.000205059797257743,0.000414655340821219,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"dnbi_cbt_mean",0.000200711948735441,0.000496427534088251,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"r1_recovery_mode",0.000197379760469218,0.000444488270477766,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"pri1_evac_prob",0.000196535670376311,0.000472234166867428,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"r2b_pre_open_window",0.000182696797603417,0.000324952073232615,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"pri2_surg_prob",0.000177881093298871,0.000409624489514447,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"pri2_evac_prob",0.000165876326869299,0.000344565672286525,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"dnbi_spt_mean",0.000160414667439464,0.000392817043660106,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"long_resus_mode",0.000159695019384171,0.000340035086401963,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"pri1_dcs_rate",0.000159146490232051,0.000421708555612543,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"post_definitive_icu_mode",0.000155169319403366,0.000335552222716688,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"wia_cbt_mean",0.000152277754503801,0.000326383808008907,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"ot_hours",0.000145241128852694,0.000349751654995795,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"fr_demand_interval_days",0.000129584694973517,0.000418497452644659,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"kia_spt_mean",0.000117729100352972,0.000291889487368586,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"stabilisation_icu_mode",0.000116348864536967,0.00030655435944148,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"r2b_icu_share",0.00011463916358048,0.000288322710200202,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
"triage_p1_balance",0.000114158096176609,0.000319168614925622,20,"dow_rate_ame_wait","C1, C2, C3, C5",5.27328925661801e-05,0.00017122246415846,0,FALSE,""
