"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"p1_t_mid",0.00104252020352942,0.00122220859881752,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"dnbi_bf_nbi_balance",0.000863566742656864,0.00121500127988064,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"triage_p2_p3_balance",0.000809921239519729,0.00130723918073451,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"mass_casualty_rate",0.00073636334963697,0.000893034649489878,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"ame_schedule_interval_days",0.000703762869794891,0.0011067696614508,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"dnbi_cbt_mean",0.000650046114804965,0.000904858807766982,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"evacuation_policy_days",0.000635340879264114,0.000866775944364073,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"disease_surgery_pct",0.000634200535132184,0.0010187765883617,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"dnbi_disease_balance",0.000614089066347721,0.000967770925732473,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"short_resus_mode",0.000613281203380341,0.000875394341770067,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"mass_casualty_max_cas",0.000589674874971281,0.00100944736361857,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"pri2_surg_prob",0.000586111863557035,0.000805215385501468,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"wia_cbt_mean",0.000545713273001826,0.000866014014574418,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"kia_spt_mean",0.000542538860660227,0.00094549607161113,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r1_transport",0.000536758624375971,0.00081481662737746,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"pri1_evac_prob",0.000533997784382184,0.000817896462421735,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"long_resus_mode",0.000529257369069484,0.000971262001003001,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r1_recovery_mode",0.000515669358346676,0.000725827097233731,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r1_wia_treat_mode",0.000514123129910134,0.000641777838636256,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"wia_spt_mean",0.000506042280872504,0.00071242615085999,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"pri2_evac_prob",0.000496627746294878,0.000761678320366627,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"pri1_dcs_rate",0.00048041252860497,0.000817510827465574,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2e_hold_mode",0.000459973574401312,0.000800420266437774,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"post_definitive_icu_mode",0.000459879979465769,0.000648348081142945,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2b_hold_threshold",0.000458056064991691,0.000669834068005301,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"surg_mode",0.000457189012032401,0.00066379598912982,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"stabilisation_icu_mode",0.000447673662629146,0.000692849250587446,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2b_hold_mode",0.000441273284251395,0.000729709004586636,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"fr_demand_interval_days",0.000419967055955457,0.000618958118555688,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"ot_hours",0.000416662526684285,0.00052627087023093,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"kia_cbt_mean",0.000401409355360608,0.000610882641036924,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"post_op_hold_mode",0.000388668743435407,0.000548054237011081,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"dnbi_spt_mean",0.000386865761866404,0.000584881233929847,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"pri2_dcs_rate",0.000352399622382407,0.00052293185117521,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2b_transport",0.000349187575507543,0.000754750324568158,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"p1_p_max",0.000343972040827341,0.000520355688215997,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2b_pre_open_window",0.000340148601453871,0.000544333965591612,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2b_icu_share",0.000338326220152971,0.000659518226205561,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"pri1_surg_prob",0.000338233166371404,0.000505146437665601,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"triage_p1_balance",0.000331699781606116,0.000449551511626,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"mass_casualty_min_cas",0.000321741618539406,0.000500320456957696,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"pri3_other_surg_prob",0.000313989358986166,0.000486199291768268,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r1_tccc_factor",0.000303916924046996,0.000564583951317623,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"mc_p1_balance",0.000274823525519324,0.000511013613499035,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2b_forward_hold_max",0.00025685930687261,0.000573922368973813,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"mc_p2_p3_balance",0.000241281185400622,0.000405458145997535,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"pri3_dcs_rate",0.000239653244421368,0.000610870286128951,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"p2_t_mid",0.00023731888754309,0.000652682081348891,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"p1_k",0.000144607708818139,0.000351209038307779,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"fr_fulfillment_lag_days",0.000143683271024802,0.000288205744617363,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"p2_p_max",0.00013397336465573,0.000365418647150711,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"p2_k",0.000110580774203777,0.000357836056912375,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"pri3_dnbi_surg_prob",9.34845026365175e-05,0.00019661869394086,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"ame_failure_probability",8.1360355897933e-05,0.00021571551631412,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"p1_p_base",7.81113209302625e-05,0.000209330242845339,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"fr_fill_mode_frac",7.25998604355498e-05,0.000226894844030084,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2e_resus_factor",5.27324784495698e-05,0.000169976745419845,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2b_resus_factor",1.58685039466464e-05,6.15060576591834e-05,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2b_dcs_factor",9.61343532122326e-07,3.60047635310019e-06,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"p2_p_base",5.38844716926896e-07,2.40978683273034e-06,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2e_postop_hold_penalty",4.20969108306829e-07,1.88263108520308e-06,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"p3_flat",0,0,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
"r2e_dcs1_factor",0,0,20,"dow_rate_r1","C1, C2, C3, C5",0.000443080732710527,0.000643366399189924,0,FALSE,""
