"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"p1_p_max",0.00408621639946861,0.00228752982422298,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"mass_casualty_rate",0.00362029365059781,0.0037560286948651,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"kia_cbt_mean",0.00236701239748132,0.00290037715234776,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"triage_p2_p3_balance",0.00236519624518897,0.00326171192032817,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"wia_spt_mean",0.00235777086102521,0.00228145248137672,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"wia_cbt_mean",0.0023560399788055,0.00306653630921341,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"dnbi_disease_balance",0.00233382134452982,0.00289320488620959,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"surg_mode",0.00223012275661969,0.00277585299037234,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"disease_surgery_pct",0.00221302519299029,0.00342934523110342,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"mass_casualty_min_cas",0.00217071384114651,0.00309843778888138,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"dnbi_spt_mean",0.00214457464496096,0.00262990146286569,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"post_op_hold_mode",0.00213749083647676,0.00244510424351223,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2b_evac_threshold",0.00211604795514391,0.0026420788316678,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"pri1_evac_prob",0.00210813903153341,0.00338802063966838,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"fr_demand_interval_days",0.00204966530431648,0.00245984088022388,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"dnbi_cbt_mean",0.00202304524233113,0.00277409758593233,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2b_pre_open_window",0.00201061360409931,0.00235104475654787,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"mass_casualty_kia_fraction",0.00199787750780366,0.00247168538757712,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"long_resus_mode",0.00190670809801969,0.00252007674539861,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"pri1_surg_prob",0.00189377074873785,0.00199952523818311,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"pri1_dcs_rate",0.00188100056288331,0.00242939325796371,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"mc_p1_balance",0.00185123903053597,0.00256498718663011,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"triage_p1_balance",0.00182060416736006,0.00221367809636467,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"pri2_dcs_rate",0.0018097784186199,0.00235069436533061,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2b_transport",0.00178588606601097,0.00252250940634388,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"dnbi_bf_nbi_balance",0.00176602492995845,0.00234379930491679,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2e_vent_share",0.00175376388549114,0.00204241009453807,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2b_hold_threshold",0.00175066932038485,0.00190384562763255,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r1_transport",0.00174435756737874,0.00215427134654116,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"post_definitive_icu_mode",0.00174238015666726,0.00202824405599165,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"p2_p_max",0.00170791095636273,0.0016475668455293,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"pri2_surg_prob",0.0016877581157729,0.00269693398788073,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"kia_spt_mean",0.00168565489196553,0.00244569698548234,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2e_hold_mode",0.00168211134590284,0.00191488522094282,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r1_wia_treat_mode",0.00165797088538427,0.00250052544235546,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"ame_schedule_interval_days",0.00164369425377052,0.00222046539810496,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2b_hold_mode",0.00162202487021005,0.0019277680310694,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"ot_hours",0.00161102940012411,0.00202396199262655,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"pri2_evac_prob",0.0016107393296958,0.00165657977046916,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r1_tccc_factor",0.00159879914172667,0.00181399389787556,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r1_recovery_mode",0.00153700927188365,0.00206668980819743,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"evacuation_policy_days",0.00153204615368134,0.00191135545375521,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"mc_p2_p3_balance",0.00152265027205776,0.00200889093288068,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"short_resus_mode",0.00147941839839553,0.00177502842896984,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2e_critical_hold_mode",0.00141100520407057,0.00184091539912767,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"stabilisation_icu_mode",0.00139607556021303,0.00179458994453976,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"reconstruction_share",0.00134829387369851,0.00179976920039871,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"p1_t_mid",0.00128336437513464,0.0020541813174972,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"mass_casualty_max_cas",0.0011700570430856,0.00163330062623524,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"pri3_other_surg_prob",0.000990653976359108,0.00133657596796573,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"saturation_queue_threshold",0.000945840348860395,0.00140787705460722,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"pri3_dnbi_surg_prob",0.000909600461805199,0.00125899994069189,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2b_icu_share",0.000892601328684258,0.00136797828098252,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2b_forward_hold_max",0.000827697647769314,0.00131874842293788,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"ame_failure_probability",0.000769099183601806,0.00109198623664701,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"fr_fulfillment_lag_days",0.000735000310257169,0.00110395922776744,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"p1_k",0.000674598720579029,0.00109588173746856,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"p2_t_mid",0.000602047890673681,0.000892853475028847,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2b_resus_factor",0.000542703421223901,0.000801839877904289,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"pri3_dcs_rate",0.000427504098213022,0.00105474106636944,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"p1_p_base",0.000353554964169912,0.000593198416359317,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"fr_fill_mode_frac",0.000353461218978054,0.000642539171404536,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"p2_k",0.000338170191486818,0.000651756309570315,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2b_dcs_factor",0.000132191590537863,0.000409360284705168,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2e_resus_factor",0.000125331243485471,0.000301134240781257,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2e_postop_hold_penalty",0.000110267451000083,0.000391173659306524,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2e_dcs1_factor",9.77899895168539e-05,0.000268907683503017,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
"r2e_dcs2_factor",5.6497800063909e-05,0.000252665843044185,20,"dow_rate_r2b","C1, C2, C3, C5",0.00420862636604985,0.00298611440353389,0,FALSE,""
