"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"fr_demand_interval_days",0.00112319291768853,0.00128961109898761,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"surg_mode",0.00106127374765897,0.00127341523377628,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"dnbi_cbt_mean",0.00097033332941081,0.00117540670700667,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"pri1_surg_prob",0.000908278252997504,0.000860683774209999,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"ame_schedule_interval_days",0.000893131774475798,0.00128540849046236,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"pri1_evac_prob",0.000866464923375632,0.00116594681887606,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"dnbi_spt_mean",0.000857833158103548,0.00102984125098014,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"r1_transport",0.000851712991674412,0.00129777304535544,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"p1_p_max",0.00082687285056425,0.0007808263032365,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"pri2_evac_prob",0.000803893078179809,0.00103520637410873,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"post_op_hold_mode",0.000796599682716537,0.00107710454795663,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"wia_cbt_mean",0.00079607031959381,0.00111058369822192,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
"long_resus_mode",0.000788209285906263,0.00108785843458309,20,"dow_rate_r2e","C1, C2, C3, C5",0.000601636733555435,0.000604711959775546,0,FALSE,""
