"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"pri2_dcs_rate",0.000435948907462168,0.000744846500277261,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"mass_casualty_rate",0.000312358459813018,0.000500146712668723,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"pri2_evac_prob",0.000250811669284372,0.00048169506120447,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"r1_transport",0.000245537607497388,0.000435228806161542,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"pri1_evac_prob",0.000234481261345316,0.000426326173412533,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"long_resus_mode",0.000217380223277131,0.00037751674157215,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"fr_demand_interval_days",0.000216859961254595,0.000487702444325852,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"r2b_transport",0.000214163600091031,0.000560988688946757,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"triage_p2_p3_balance",0.000202565658739043,0.000498163304819743,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"evacuation_policy_days",0.000195425161592658,0.000444494578088791,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"dnbi_bf_nbi_balance",0.000191919869086768,0.000420633886730129,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"ame_schedule_interval_days",0.000190386799038319,0.00041663789435704,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"wia_cbt_mean",0.000186952182203525,0.000406124791081604,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"ot_hours",0.00016362884794209,0.000289838150713201,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"p1_p_max",0.00016320570061492,0.000288370231815097,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"disease_surgery_pct",0.000153940955839564,0.000299730478530904,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"post_op_hold_mode",0.000152288232046353,0.000340844384485255,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"short_resus_mode",0.000146948753529747,0.000306144387769688,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
"mc_p1_balance",0.000141535327667363,0.000278321432796879,20,"dow_rate_r2e_postop","C1, C2, C3, C5",7.28412179952875e-05,0.000194275897244305,0,FALSE,""
