"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"r2b_pre_open_window",0.0763917439972335,0.0301924666940262,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"mass_casualty_rate",0.0637185074189985,0.0185096245424918,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"wia_cbt_mean",0.024290538235728,0.0181490043131188,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"pri1_surg_prob",0.0230426088317037,0.0169678965418424,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"r2b_hold_threshold",0.0226764739383525,0.0150048248084803,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"dnbi_bf_nbi_balance",0.0188047180634654,0.0228118961156086,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"surg_mode",0.0176423008159569,0.0150811616117554,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"r2b_hold_mode",0.0174629876608921,0.0194797496070105,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"pri1_evac_prob",0.0168544895785928,0.0162146749799169,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"triage_p1_balance",0.0163514826008774,0.0170799472668957,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"mass_casualty_max_cas",0.0155860096633463,0.0145955366875322,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"fr_demand_interval_days",0.0150837193182393,0.0190046409731557,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"kia_spt_mean",0.013322644733917,0.0174824328585448,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"wia_spt_mean",0.0131204007871054,0.0141181014127119,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"dnbi_disease_balance",0.012627157596236,0.0126946942910294,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"pri2_surg_prob",0.0118769062994357,0.0149448783785049,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"long_resus_mode",0.0118659882315706,0.0139893163024403,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"dnbi_cbt_mean",0.0117533254941932,0.0153327692044883,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"mass_casualty_min_cas",0.0113859856669865,0.0143008333562071,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"post_definitive_icu_mode",0.0113114444406519,0.0139391292622903,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"ame_schedule_interval_days",0.0112082498761829,0.0146544881869455,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"evacuation_policy_days",0.0110320373481981,0.0123454322359566,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"r1_wia_treat_mode",0.0108088964686866,0.0145064795733666,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"pri2_dcs_rate",0.0107916495441435,0.0158042558297546,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"post_op_hold_mode",0.010741010067214,0.013638795078794,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"disease_surgery_pct",0.0106045293656069,0.0130951651544067,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"mc_p1_balance",0.0105195514047596,0.013616524850753,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"r1_transport",0.010400449705911,0.0140024017330194,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"ot_hours",0.0102020988318177,0.012599257545268,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
"pri2_evac_prob",0.0101508903143968,0.0100334874266182,20,"ot_util_r2b","C3, C4",0.114374853165738,0.0368579627784171,0,FALSE,""
