"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",0.554957965019277,0.202424128552367,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"pri1_dcs_rate",0.157844418273264,0.165817519382155,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"wia_cbt_mean",0.151371416269256,0.144778294090466,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"dnbi_bf_nbi_balance",0.146564060824425,0.158431506757151,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"pri1_evac_prob",0.14284960154413,0.141905436042071,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"pri1_surg_prob",0.142441952699955,0.133791686688307,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"wia_spt_mean",0.126038520328785,0.169129803659718,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"evacuation_policy_days",0.117451174234729,0.139572708137717,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"surg_mode",0.116848885834525,0.118869490658254,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"r1_wia_treat_mode",0.114657855186236,0.146281036196705,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"triage_p1_balance",0.112138543441682,0.1250944809742,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"r2b_hold_threshold",0.111383430822808,0.131818647575498,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"pri2_evac_prob",0.110160166454104,0.115037213308235,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"ot_hours",0.107844671449051,0.140204340051789,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"triage_p2_p3_balance",0.107578919356899,0.143724291343162,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"kia_cbt_mean",0.105015412741847,0.132366401046284,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"r2b_transport",0.103716027434449,0.136686261466933,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"mass_casualty_max_cas",0.0963884006618934,0.105037450858584,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"dnbi_disease_balance",0.0945893734307708,0.101627510335581,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"fr_demand_interval_days",0.0934951047792404,0.127065179866953,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"r1_recovery_mode",0.0920383992892497,0.126628096245503,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"short_resus_mode",0.0918018931983881,0.123362601535187,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"mass_casualty_min_cas",0.0917977873855344,0.129160674694253,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"pri2_dcs_rate",0.0898045872539395,0.131718820052959,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"r2b_hold_mode",0.0870554425272044,0.116001312186533,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"r2b_pre_open_window",0.0867578774950988,0.104262713525072,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"stabilisation_icu_mode",0.0852882558245395,0.117078162565019,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"long_resus_mode",0.0830471876894778,0.117012947060989,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"pri2_surg_prob",0.0810507883395945,0.0920276837289627,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"ame_schedule_interval_days",0.0749554386107906,0.075723449947418,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"kia_spt_mean",0.0719814661472624,0.0929213303069346,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
"disease_surgery_pct",0.071627942306481,0.0849439813476541,20,"ot_util_r2e","C3, C4",0.561207014585811,0.223213956137079,0,FALSE,""
