"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"dnbi_cbt_mean",0.138271120436846,0.0881241346441346,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2b_hold_threshold",0.118348100534069,0.0547242156793209,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"mass_casualty_rate",0.116726382063965,0.0988005187468132,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"dnbi_disease_balance",0.116264703364308,0.0734302822019643,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"wia_cbt_mean",0.0793549908107451,0.103837011610962,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"pri1_evac_prob",0.0766779544509394,0.0819974260375474,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2b_pre_open_window",0.0683222097620467,0.04129033487151,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"dnbi_bf_nbi_balance",0.0599196094900118,0.102144047593559,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"fr_demand_interval_days",0.0586739991702085,0.0907368458808916,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2b_transport",0.0576889456370206,0.0922467033720574,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"post_op_hold_mode",0.0562432114346479,0.146509468678328,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"long_resus_mode",0.0529121979871462,0.0745204422437517,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r1_wia_treat_mode",0.0523020580049989,0.0917298606746376,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"pri1_dcs_rate",0.0519299770098808,0.0718589297409399,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"pri2_surg_prob",0.0505132407427486,0.0615606691142368,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"pri3_other_surg_prob",0.0486032921957195,0.0750345900475667,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"dnbi_spt_mean",0.0480075188606509,0.0818615802471946,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"triage_p2_p3_balance",0.0476590496880567,0.0699465054419631,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"evacuation_policy_days",0.0474378933227702,0.0610732556363965,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r1_transport",0.0463180305519415,0.068704617709537,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"triage_p1_balance",0.0461813586496744,0.0397333826128111,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"surg_mode",0.045298767121677,0.0726402845125226,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"ot_hours",0.0451801204159908,0.0572522745231039,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"kia_cbt_mean",0.0397434292640861,0.0549927484326806,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"kia_spt_mean",0.0394873374144354,0.0548128045289394,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2b_hold_mode",0.0390565428379988,0.0655175530807405,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"mc_p1_balance",0.0388448852513177,0.057040738828576,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"short_resus_mode",0.0372315197345422,0.048277979078421,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r1_recovery_mode",0.0357323541867235,0.0495591571299758,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"pri2_evac_prob",0.0353926692767971,0.0579789637814655,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"wia_spt_mean",0.0350912124716393,0.0473109454194111,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"pri1_surg_prob",0.0345706179880888,0.0312606440709633,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2b_forward_hold_max",0.0340383947812232,0.0691218356992518,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"ame_schedule_interval_days",0.0335328150857644,0.0458051209133748,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2b_icu_share",0.0316474286848454,0.0495376705152535,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"stabilisation_icu_mode",0.0316211360714771,0.054837084551759,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"post_definitive_icu_mode",0.0313065981843113,0.0429349731449614,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"disease_surgery_pct",0.028086265690245,0.0385706869974389,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"mass_casualty_max_cas",0.0266757858119218,0.0340345986551968,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"pri2_dcs_rate",0.0255521621458359,0.0312226417798427,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r1_tccc_factor",0.0243264223229333,0.034984921032764,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2e_hold_mode",0.0229109744533492,0.0279013503179712,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"mass_casualty_min_cas",0.022555542658847,0.0318410622606959,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"pri3_dnbi_surg_prob",0.0203526427041251,0.0299981070100423,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"p1_t_mid",0.0191660321969575,0.0261303198680051,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"p1_p_max",0.0183827974602785,0.0258828289029377,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"fr_fulfillment_lag_days",0.0145822371306254,0.020576230258453,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"mc_p2_p3_balance",0.0125456735330321,0.0215839959931251,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"p2_p_max",0.0120005964087847,0.0163830988197048,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"ame_failure_probability",0.011812332877876,0.0201471383980408,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"p1_k",0.00769807831342076,0.01566373793594,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"p1_p_base",0.00709949819019108,0.0122981130977339,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"p2_t_mid",0.00698307720019208,0.0139540053146972,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"pri3_dcs_rate",0.00685674145913462,0.0139441174328558,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"fr_fill_mode_frac",0.00619281767922848,0.00948492087864295,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"p2_k",0.00603302592431788,0.0158801334545455,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2b_dcs_factor",0.00201479471891479,0.00827685718851355,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2b_resus_factor",0.00165348234340942,0.0042251691151769,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2e_resus_factor",0.0016382939500333,0.00524466250863122,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"p2_p_base",0.00136594964586861,0.00560068632524404,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2e_dcs2_factor",0.00125440837716062,0.00386259856492439,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2e_postop_hold_penalty",0.000289269553975437,0.00129365277302024,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"p3_flat",0,0,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2e_dcs1_factor",0,0,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
"r2b_icu_penalty",0,0,20,"r2b_bypass_rate","C2, C3, C4",0.164029869235609,0.107881984523278,0,FALSE,""
