"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"r2b_evac_threshold",2297.48309690326,2387.30421727932,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"pri1_surg_prob",1374.67839920618,807.687972829735,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"r2b_hold_threshold",912.302962761267,677.611235727361,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"r2b_hold_mode",622.499261114773,618.541993885432,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"pri2_surg_prob",617.177036218197,437.597274330425,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"mass_casualty_rate",568.434960575614,607.697863268254,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"dnbi_disease_balance",494.807026166519,500.328207088169,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"dnbi_cbt_mean",447.950268497349,409.707454425736,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"wia_cbt_mean",396.320237215518,474.369549259473,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"long_resus_mode",360.314250560025,516.704818388234,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"post_definitive_icu_mode",348.876817266284,428.773064062292,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"r2e_vent_share",345.353743987591,423.611962653509,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"surg_mode",342.669678692903,409.992138781302,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"pri1_dcs_rate",328.775241084264,374.464120890025,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
"wia_spt_mean",324.039683634894,452.162436560205,20,"r2b_dwell_mean","C1, C3, C4",3516.30397380512,1414.51336204321,0,FALSE,""
