"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"r2b_evac_threshold",1.08797044838254,1.47017315352068,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"mass_casualty_rate",0.831661226897802,0.705702184963404,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"r2b_hold_threshold",0.661450212303612,0.538755262941495,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"pri1_surg_prob",0.636633200234106,0.675873529400586,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"r2b_hold_mode",0.522309900786757,0.69208684028598,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"pri1_evac_prob",0.442213593454152,0.425820374321708,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"dnbi_cbt_mean",0.391311417002141,0.472970452929125,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"dnbi_disease_balance",0.384810312480639,0.609295641526545,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"pri1_dcs_rate",0.352888546987429,0.523261837554715,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"r1_transport",0.345922624416112,0.436450318160102,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"wia_cbt_mean",0.335869420389442,0.2769024504414,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"pri2_surg_prob",0.331805961274008,0.333579676299583,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"triage_p2_p3_balance",0.326113663688589,0.430879434223598,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"triage_p1_balance",0.318754264375827,0.358225658056014,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"mass_casualty_kia_fraction",0.312461130092931,0.41459527993776,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"r1_recovery_mode",0.299495537401526,0.451727668892926,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"long_resus_mode",0.29895622499732,0.472144837223099,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"r2b_transport",0.295136485359032,0.430473983884224,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"stabilisation_icu_mode",0.293366834345498,0.416924484600603,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"dnbi_spt_mean",0.293215069964762,0.418777937874396,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"r2e_icu_beds",0.285599245207839,0.417124915604095,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
"fr_demand_interval_days",0.279613042278477,0.434778552881271,20,"r2b_hold_q","C3, C4",1.02788400445988,0.971265083427019,0,FALSE,""
