"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"surg_mode",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"long_resus_mode",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"p1_p_max",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r1_transport",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2b_transport",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"stabilisation_icu_mode",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"pri1_surg_prob",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"evacuation_policy_days",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"ot_hours",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"mass_casualty_rate",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"mass_casualty_max_cas",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"short_resus_mode",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2b_hold_mode",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2e_hold_mode",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"post_op_hold_mode",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r1_recovery_mode",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r1_wia_treat_mode",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"post_definitive_icu_mode",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"pri2_surg_prob",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"pri3_dnbi_surg_prob",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"pri3_other_surg_prob",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"disease_surgery_pct",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"pri1_evac_prob",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"pri2_evac_prob",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"p1_p_base",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"p1_k",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"p1_t_mid",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"p2_p_base",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"p2_p_max",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"p2_k",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"p2_t_mid",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"p3_flat",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r1_tccc_factor",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2b_resus_factor",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2b_dcs_factor",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2e_resus_factor",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2e_dcs1_factor",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2e_dcs2_factor",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2e_postop_hold_penalty",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2b_icu_penalty",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"wia_cbt_mean",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"kia_cbt_mean",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"dnbi_cbt_mean",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"wia_spt_mean",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"kia_spt_mean",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"dnbi_spt_mean",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"mass_casualty_min_cas",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"fr_demand_interval_days",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"fr_fulfillment_lag_days",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"fr_fill_mode_frac",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"ame_schedule_interval_days",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"ame_failure_probability",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2b_icu_share",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2b_forward_hold_max",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2b_hold_threshold",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"r2b_pre_open_window",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"pri1_dcs_rate",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"pri2_dcs_rate",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"pri3_dcs_rate",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"triage_p1_balance",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"triage_p2_p3_balance",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"dnbi_disease_balance",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"dnbi_bf_nbi_balance",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"mc_p1_balance",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
"mc_p2_p3_balance",NA,NA,20,"r2b_ot_q","C3, C4",0,0,0,TRUE,"degenerate response — insufficient variation across the design"
