"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"r2b_transport",10.150219919231,0.422505336335467,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"r1_wia_treat_mode",0.544273787498946,0.76082689705778,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"kia_cbt_mean",0.495875867279815,0.647178499153133,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"surg_mode",0.486785720768398,0.572396095535375,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"long_resus_mode",0.469617770315849,0.568439322644473,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"dnbi_spt_mean",0.46604305129771,0.652735937997956,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"dnbi_bf_nbi_balance",0.457453241683599,0.603642827398946,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"dnbi_disease_balance",0.446703808942497,0.567774431109316,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"r1_recovery_mode",0.446654953852061,0.601094763669157,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"fr_demand_interval_days",0.446316336360126,0.622148701921556,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"triage_p2_p3_balance",0.44507933432393,0.529980931222283,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"post_definitive_icu_mode",0.439891748235269,0.5409093459039,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"dnbi_cbt_mean",0.432145975219439,0.532531989711236,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"wia_cbt_mean",0.430972073438475,0.524624000206359,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"ame_schedule_interval_days",0.416159457123779,0.610393919891703,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
"r2b_pre_open_window",0.39391547195062,0.493219275154175,20,"r2b_r2e_transit_mean","C1, C3",30.59840635724,3.82389116836145,0,FALSE,""
