"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",36.81,13.0055413291088,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"pri1_surg_prob",15.495,9.72670090659293,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"wia_cbt_mean",14.025,10.4469826920705,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2b_hold_threshold",12.015,8.31969603442717,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"pri1_evac_prob",10.32,8.98214017399323,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2b_pre_open_window",10.185,8.42729119243575,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"dnbi_bf_nbi_balance",10.11,10.252296276804,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2b_hold_mode",9.615,10.4288302316223,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"triage_p1_balance",8.535,9.14642725762072,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"wia_spt_mean",7.95,6.97707524306341,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"dnbi_disease_balance",7.71,8.08882269749924,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"long_resus_mode",7.575,8.62836661983691,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"mass_casualty_max_cas",7.545,7.34542284978239,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"ot_hours",7.395,9.19446486808918,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"fr_demand_interval_days",7.215,8.48967639331193,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"kia_spt_mean",7.185,9.40069846229244,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"pri2_surg_prob",6.81,8.46846161385072,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"surg_mode",6.615,7.26514932653432,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"dnbi_cbt_mean",6.585,7.28663340067205,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"mc_p1_balance",6.51,7.51615103066652,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r1_transport",6.48,8.94901347106278,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"post_op_hold_mode",6.435,7.55899429400778,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"evacuation_policy_days",6.405,7.86764694308614,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"pri1_dcs_rate",6.255,8.47549253342899,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"triage_p2_p3_balance",6.24,8.30643377781724,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"pri2_dcs_rate",6.225,8.97959529037625,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"stabilisation_icu_mode",6.105,7.7832664635168,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"pri2_evac_prob",5.985,5.77658385662596,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2b_transport",5.985,8.10933672412628,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r1_wia_treat_mode",5.91,9.11869104179923,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"dnbi_spt_mean",5.88,7.04262211933804,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r1_recovery_mode",5.805,7.07220467374696,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"kia_cbt_mean",5.685,6.34523235856738,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"post_definitive_icu_mode",5.64,6.79178296101058,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"mass_casualty_min_cas",5.535,5.68083342662436,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"short_resus_mode",5.46,7.30359680676511,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"disease_surgery_pct",5.34,6.75527863775316,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"p1_p_max",5.25,6.42765406988469,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"pri3_other_surg_prob",5.13,6.48057015035592,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2e_hold_mode",4.995,6.00274279414266,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"ame_schedule_interval_days",4.95,5.64102454300075,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"p1_t_mid",4.65,6.17707135512581,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2b_icu_share",4.335,6.63427107010099,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"mc_p2_p3_balance",4.17,5.74544212947602,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"pri3_dnbi_surg_prob",3.57,4.80256510408213,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r1_tccc_factor",2.475,2.7251026055043,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2b_forward_hold_max",2.445,3.77279388308062,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"p1_p_base",2.25,3.3255945253997,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"fr_fulfillment_lag_days",2.175,2.80831003686521,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"ame_failure_probability",1.56,2.08642227143425,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"p2_t_mid",1.53,2.48551593712135,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"p2_p_max",1.35,1.92979409864314,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"p1_k",1.32,2.44303521313787,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"fr_fill_mode_frac",1.17,1.66493243106139,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"pri3_dcs_rate",1.155,3.80081362480803,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"p2_k",0.749999999999998,1.6785331942534,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2b_resus_factor",0.600000000000001,1.21334682853494,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2e_dcs2_factor",0.54,1.75442298206561,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2b_dcs_factor",0.449999999999999,1.26682362831736,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2e_resus_factor",0.285000000000001,0.888212279036707,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"p2_p_base",0.135,0.3828906673685,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2e_postop_hold_penalty",0.0900000000000002,0.402492235949963,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2e_dcs1_factor",0.0450000000000001,0.201246117974982,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"p3_flat",0,0,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
"r2b_icu_penalty",0,0,20,"r2b_surgery_count","C2, C3, C4",64.9957575757576,17.4615265645341,0,FALSE,""
