"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"evacuation_policy_days",3214.8216672621,2644.0219489068,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"r2e_hold_mode",2550.46585517327,2001.19813503374,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"pri1_surg_prob",2243.58191788583,2079.30694799045,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"mass_casualty_rate",2124.88847942249,1656.33821006212,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"kia_cbt_mean",1741.45924827487,2147.73857680426,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"mass_casualty_max_cas",1741.16543541019,2072.33038311033,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"dnbi_disease_balance",1589.67095947461,1833.74212238254,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"pri2_evac_prob",1583.89746520958,2017.87264527234,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"pri1_evac_prob",1556.87643419855,2095.57389795154,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"r2b_pre_open_window",1549.99828486462,1959.46270777715,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"r1_recovery_mode",1515.89327677766,2004.66985512536,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"r1_wia_treat_mode",1504.37743270964,2111.58227354544,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"dnbi_cbt_mean",1484.05033337801,2677.79449794977,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"dnbi_bf_nbi_balance",1459.4142035022,1969.78811989719,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"pri1_dcs_rate",1434.78107422552,1616.32708566099,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"wia_cbt_mean",1365.42846349286,1739.8445753388,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"triage_p1_balance",1308.77128234303,1992.9988462937,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"ame_schedule_interval_days",1279.2458530923,1251.76735144068,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"wia_spt_mean",1260.61561354618,1432.45647430676,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"fr_demand_interval_days",1238.87135116597,1542.55239724241,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"short_resus_mode",1223.16219935734,1495.98519468735,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"pri2_dcs_rate",1214.56918744226,1637.06511551165,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"long_resus_mode",1204.65517497558,1549.15725877831,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"r2b_transport",1180.50723588435,1711.32631587741,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"stabilisation_icu_mode",1179.45309990998,1350.64957027742,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"post_definitive_icu_mode",1169.59466850655,1395.73501856795,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"r2b_hold_mode",1106.69718186002,1343.6852547151,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"r2b_hold_threshold",1104.03961937049,1440.29967382563,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"kia_spt_mean",1093.25083801795,1279.20395938881,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"mass_casualty_min_cas",1061.6468250285,1546.7787101762,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"surg_mode",1047.75812344498,1366.62442925076,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"triage_p2_p3_balance",1017.94190692742,1315.56488030985,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"dnbi_spt_mean",976.174145169407,1290.37803455667,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"post_op_hold_mode",924.29638163996,1086.81163699715,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"r2b_forward_hold_max",898.886592815,1353.14979013534,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"pri2_surg_prob",880.599294567155,1126.46034692732,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"disease_surgery_pct",856.604741775853,1143.05052368418,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"r2b_icu_share",824.488782914809,1299.5811386563,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"ot_hours",820.436573375665,1003.73917411033,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"pri3_other_surg_prob",786.663763806132,1071.3621400658,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"r1_transport",762.190158284485,1034.04215664244,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
"mc_p1_balance",735.420769445708,1074.29806588392,20,"r2e_dwell_mean","C1, C3, C4",6175.45950534641,2235.41685101961,0,FALSE,""
