"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"r2e_hold_beds",2.45722778568321,1.60294107789809,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"mass_casualty_rate",2.33821522622459,1.43181054663206,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"evacuation_policy_days",1.81411401048556,1.10752748600542,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"ame_schedule_interval_days",1.09634484057374,1.16360795546026,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"pri1_evac_prob",0.99838133496851,0.613304875805219,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"wia_cbt_mean",0.769949013069836,0.455158205869312,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"dnbi_cbt_mean",0.742032207326825,0.629583077437542,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"triage_p1_balance",0.731302782981463,0.597976946038306,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"r2e_hold_mode",0.723190753169505,0.768854677155314,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"pri2_evac_prob",0.650170347279076,0.634641643783543,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"r2b_pre_open_window",0.631340683475852,0.767725076805096,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"pri1_surg_prob",0.579380884646076,0.705162136679291,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"pri1_dcs_rate",0.578058343666058,0.513801007407384,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"post_definitive_icu_mode",0.564934790210655,0.793330329197017,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"wia_spt_mean",0.547381096158748,0.612707592007534,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"kia_cbt_mean",0.544060687973635,0.721398470845315,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"triage_p2_p3_balance",0.538241008969796,0.660239052574429,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
"dnbi_disease_balance",0.531130695830634,0.769395705273712,20,"r2e_hold_q","C3, C4",2.01584720679251,1.83150338486172,0,FALSE,""
