"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",1.11099431529161,1.18688149573849,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"mass_casualty_min_cas",0.902933004047471,1.59388094883156,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"pri1_surg_prob",0.864470595225057,1.11173015584599,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"mc_p1_balance",0.772387987188322,1.31731142218129,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"pri1_dcs_rate",0.592557923153425,0.822243403458524,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"saturation_queue_threshold",0.576113543109012,0.906911490659825,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"pri1_evac_prob",0.563888159558048,0.955476070245555,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"post_definitive_icu_mode",0.513386883673263,0.81385181720032,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"pri2_surg_prob",0.477103853910791,0.815161345507415,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"dnbi_spt_mean",0.436025748750628,0.855454898909722,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"ot_hours",0.422070618639213,0.6671458138603,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"kia_spt_mean",0.40923543009037,0.624297258013361,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"evacuation_policy_days",0.406901292500157,0.617420843639499,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"triage_p1_balance",0.397067331781134,0.618821179448461,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"mass_casualty_kia_fraction",0.395271473604165,0.469498306675783,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"wia_spt_mean",0.392135476337741,0.624248971650166,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"kia_cbt_mean",0.388902887003065,0.636600391594922,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"short_resus_mode",0.383498504225664,0.839824000641548,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r1_wia_treat_mode",0.380839791464128,0.549048929726519,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"dnbi_disease_balance",0.360999781406004,0.631950273454823,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"dnbi_bf_nbi_balance",0.354691858682967,0.568669379933208,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"dnbi_cbt_mean",0.346344805913415,0.577057490162087,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"surg_mode",0.343816212732112,0.495997752582632,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2b_evac_threshold",0.325519149741967,0.530483822610442,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"pri2_evac_prob",0.323109661021687,0.597981341967987,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"mass_casualty_max_cas",0.321273268597993,0.9894965976797,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2b_transport",0.315460374375576,0.647103698517304,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"stabilisation_icu_mode",0.31373801157697,0.531898420887894,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"ame_schedule_interval_days",0.303341673385803,0.486840954246136,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2e_vent_share",0.291972347022562,0.405634340554044,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"fr_demand_interval_days",0.285405857025748,0.373282721345967,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r1_recovery_mode",0.280148063239653,0.419410628521938,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r1_transport",0.277865298065334,0.431302627462255,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2b_icu_share",0.27569404967125,0.43311520563776,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"pri3_other_surg_prob",0.273673317284438,0.514748007582643,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"post_op_hold_mode",0.266471314088119,0.427175233257688,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"triage_p2_p3_balance",0.266425664726816,0.423840483701498,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"disease_surgery_pct",0.25461167241009,0.392441644021795,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"p1_p_max",0.248374271010232,0.419671305188743,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2b_pre_open_window",0.244425864348283,0.386596079403501,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"pri2_dcs_rate",0.22835360363865,0.303018716069222,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"wia_cbt_mean",0.228176991536876,0.312893747883893,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"mc_p2_p3_balance",0.224608607141505,0.365910353444297,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2b_hold_mode",0.216509168490895,0.329221055564644,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2e_hold_mode",0.213137104791244,0.313886706789884,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2b_hold_threshold",0.19489947452454,0.343407702547444,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"reconstruction_share",0.19489044818343,0.326212943010537,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"long_resus_mode",0.169740344029663,0.279358963638105,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r1_tccc_factor",0.163231493271931,0.353175535681547,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"pri3_dcs_rate",0.15480346976292,0.54424593927649,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"pri3_dnbi_surg_prob",0.143756159337848,0.211063463378559,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2e_critical_hold_mode",0.128565142419227,0.224743637134659,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2b_forward_hold_max",0.0981944065842579,0.164180027828234,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"p1_t_mid",0.0938050632085831,0.195780864113173,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"p2_t_mid",0.0686509645927116,0.136310846330745,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"p1_k",0.0684301905374219,0.14823355003166,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"fr_fulfillment_lag_days",0.0656507051208425,0.0955166006365472,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"p2_p_max",0.0651360278318538,0.150221144880748,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"ame_failure_probability",0.0583735660706404,0.0892797192754306,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2e_resus_factor",0.0504877132893474,0.154406914209099,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"fr_fill_mode_frac",0.0407197473845708,0.0887562426308762,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"p1_p_base",0.0278003420849851,0.0604165705096684,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"p2_k",0.0242293629165649,0.0855478206748134,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2b_resus_factor",0.0194401118346006,0.0357199685344899,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2e_dcs1_factor",0.0183726547697874,0.0503999397228367,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"p2_p_base",0.0101936134046965,0.0340585797348381,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2e_postop_hold_penalty",0.00965119305351287,0.0415322768332557,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2b_dcs_factor",0.0040600973873719,0.0126818569912673,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2e_dcs2_factor",0.00156843846453428,0.00701427005044808,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"r2b_icu_penalty",7.60078817539561e-05,0.000339917580855224,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"p3_flat",0,0,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"role4_return_interval_mode",0,0,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"role4_post_reconstruction_return_rate",0,0,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"role4_los_p1_surgical_mode",0,0,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"role4_los_p1_nonsurgical_mode",0,0,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"role4_los_p2_mode",0,0,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"role4_los_p3_dnbi_mode",0,0,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
"role4_icu_continuation_mode",0,0,20,"r2e_icu_q","C3, C4",0.707153614392727,1.02500402717401,0,FALSE,""
