"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",13.0395139212247,12.8106318580534,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"pri1_evac_prob",4.71774491690866,5.9789912994968,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"pri1_surg_prob",4.35099008427793,4.68042343731346,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"pri1_dcs_rate",4.2088981097627,6.06028070116786,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"mc_p1_balance",4.20033245465119,7.13918409068763,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"mass_casualty_kia_fraction",3.48863450757916,6.13756591363265,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"mass_casualty_max_cas",3.42469463751994,5.96554336085444,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"wia_cbt_mean",2.64028710901962,3.63363223981427,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"dnbi_disease_balance",2.44644548682842,3.07506385182027,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"surg_mode",2.3295222652989,3.33154431361776,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"saturation_queue_threshold",2.09788341646809,4.01664384872868,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"long_resus_mode",2.08222983833322,3.48997428849201,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"p1_p_max",2.03469497989847,3.55818203892157,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"pri2_surg_prob",2.01240285894007,2.85573060033374,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2b_pre_open_window",2.00416379274844,3.72652637432363,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"mass_casualty_min_cas",1.9838990501919,3.73523510387521,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2e_hold_mode",1.93944548962577,3.35252211786086,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"pri2_evac_prob",1.91653486019557,3.0781054410093,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"triage_p2_p3_balance",1.88858089432726,3.03757302520043,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"kia_cbt_mean",1.83760568664885,3.20719338695587,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2e_hold_beds",1.78965232029955,2.64259381726289,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"triage_p1_balance",1.65931636857403,1.77651727630826,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"short_resus_mode",1.63438334205904,3.14467687364379,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2b_evac_threshold",1.57570755156109,2.4115926501068,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2b_hold_threshold",1.54999763284589,1.87871839013273,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"wia_spt_mean",1.54912440171013,2.94716447612941,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"evacuation_policy_days",1.54849930451654,2.1800751248252,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"dnbi_cbt_mean",1.53937246523955,1.99491277467781,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"ame_schedule_interval_days",1.52868617590823,3.30846906362522,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"dnbi_spt_mean",1.49910641223286,2.21141629379148,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2e_icu_beds",1.49583869363799,2.08387035051925,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"kia_spt_mean",1.45300729929062,2.01253271943986,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"ot_hours",1.43066230909975,2.15206510024735,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"p1_t_mid",1.40632951291435,2.58395477395052,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r1_wia_treat_mode",1.33415705904831,1.56739675599931,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r1_transport",1.31112641881613,1.72318258746093,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r1_recovery_mode",1.30457918223398,1.82435691560816,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"post_op_hold_mode",1.29086530626309,1.65460865692865,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2b_hold_mode",1.28714813981125,1.81778264037919,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2b_transport",1.24116458793138,1.76297092796004,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2e_vent_share",1.23007049124374,1.74090100589612,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"post_definitive_icu_mode",1.21456334310189,2.21011578200201,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"pri2_dcs_rate",1.16122808792367,1.98395878377866,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"dnbi_bf_nbi_balance",1.15034651081698,1.90667930750854,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"pri3_other_surg_prob",1.10866464943016,1.9490816831166,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"mc_p2_p3_balance",1.05047995852513,1.83836291115288,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"fr_demand_interval_days",0.985569805698505,1.51884361505574,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"disease_surgery_pct",0.968086329105506,1.36738596402482,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"pri3_dnbi_surg_prob",0.923762807656128,1.80860735020624,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2e_critical_hold_mode",0.898054286970762,1.21154966186018,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"p1_k",0.843311658064127,2.02810952835311,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2b_icu_share",0.763549077268458,1.22060694623525,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"stabilisation_icu_mode",0.726877122536715,1.14542207660781,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r1_tccc_factor",0.69986332348132,1.11282664915935,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"reconstruction_share",0.607330263114817,0.953209414167469,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"pri3_dcs_rate",0.462374729598887,1.14547507343054,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"fr_fulfillment_lag_days",0.446488687649342,0.693944374748594,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2b_forward_hold_max",0.375290232404211,0.658372069890344,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"p2_p_max",0.320597031072462,0.463379324303294,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"ame_failure_probability",0.254589038745051,0.488172718332704,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"p1_p_base",0.236727087636929,0.522809360632573,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"r2b_resus_factor",0.219226282433569,0.375226435662388,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"p2_t_mid",0.207406983983435,0.567896240076943,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
"fr_fill_mode_frac",0.133792435784619,0.248678799832414,20,"r2e_ot_q","C3, C4",4.34767374878282,6.20922378666816,0,FALSE,""
