"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",110.985,45.9709436263248,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"pri1_surg_prob",40.125,20.5853518436367,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"pri1_dcs_rate",36.735,20.6192417799236,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"wia_cbt_mean",34.29,24.8914189399099,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"pri1_evac_prob",33.915,24.9848854309961,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"surg_mode",31.26,33.3914675518037,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"triage_p1_balance",28.695,21.6320540670065,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"wia_spt_mean",25.62,19.1462900075349,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"pri2_surg_prob",24.9,30.9658317640929,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"mass_casualty_kia_fraction",23.955,21.2943895502029,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"triage_p2_p3_balance",22.365,24.9784385968547,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"dnbi_disease_balance",21.645,21.3121777641946,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"dnbi_bf_nbi_balance",20.085,23.8764203214892,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"stabilisation_icu_mode",19.65,23.2677232957679,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r1_transport",19.44,28.5088241187107,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"evacuation_policy_days",19.32,20.44905093667,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r2e_vent_share",18.84,21.4159925486097,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"disease_surgery_pct",18.6,19.7336207897508,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"post_definitive_icu_mode",18.48,26.7224151918237,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"short_resus_mode",18.375,20.8040349072254,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"kia_spt_mean",16.98,26.5221932886801,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"pri2_evac_prob",16.575,20.28947030514,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"long_resus_mode",16.26,21.8064910664595,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"dnbi_spt_mean",16.14,20.5976646606766,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r2e_critical_hold_mode",16.02,21.9551073065496,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r2b_transport",15.9,21.068909496422,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"ame_schedule_interval_days",15.87,19.6447019776191,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"fr_demand_interval_days",15.69,18.5170220408995,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"kia_cbt_mean",15.615,19.988546062288,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"mass_casualty_min_cas",15.21,18.8696498168494,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"ot_hours",14.925,18.9834685699787,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"saturation_queue_threshold",14.76,21.2825132073506,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"mc_p1_balance",14.67,13.437433965566,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"post_op_hold_mode",14.415,19.6470829494114,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"mass_casualty_max_cas",14.355,16.4069457371277,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r2b_evac_threshold",13.98,17.1884416488462,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r2b_pre_open_window",13.815,15.2077637720793,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r2b_hold_mode",13.305,17.0016493007993,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r2b_icu_share",12.795,17.5855645046546,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"dnbi_cbt_mean",12.6,17.6504480336753,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r1_wia_treat_mode",12.465,16.0028574751018,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r1_recovery_mode",12.315,14.636309392452,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r2b_hold_threshold",12.255,15.475456799652,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"p1_p_max",12.105,14.760447682556,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"pri2_dcs_rate",11.985,14.8190586745582,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"ame_failure_probability",11.085,15.746661300265,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"reconstruction_share",10.755,17.2849759831144,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"mc_p2_p3_balance",10.26,14.3663752158332,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r2e_hold_mode",10.005,13.9649665045672,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
"r2b_forward_hold_max",9.015,15.4809041963589,20,"r2e_surgery_count","C2, C3, C4",185.367088607595,52.6897329643339,0,FALSE,""
