"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"evacuation_policy_days",46.2865,30.7797504991427,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"ame_schedule_interval_days",19.884,18.0667826629279,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"mass_casualty_rate",11.3835,13.5027709729288,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2e_hold_mode",10.187,11.4192080101445,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"dnbi_cbt_mean",8.64850000000001,11.3298846907311,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"ame_failure_probability",8.4195,13.7262144415253,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2b_pre_open_window",7.30500000000002,10.2836732634538,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"ot_hours",7.11050000000001,10.5209656726087,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r1_recovery_mode",6.95049999999998,10.1685846839019,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"stabilisation_icu_mode",6.82,9.77473133296149,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"post_definitive_icu_mode",6.76000000000001,9.32551197973657,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"pri1_surg_prob",6.49249999999999,8.89431957990456,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"short_resus_mode",6.40100000000001,9.15536259306678,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"kia_spt_mean",6.39200000000001,8.95617804999197,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2b_hold_threshold",5.57299999999999,6.36955596238032,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r1_wia_treat_mode",5.55400000000002,7.84554892246152,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"triage_p1_balance",5.434,6.95856579294446,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"mass_casualty_max_cas",5.32349999999998,7.67603534933302,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"dnbi_bf_nbi_balance",5.241,7.50482202881656,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2b_transport",5.15249999999999,7.14786996244334,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"triage_p2_p3_balance",5.1475,8.47458632742937,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"fr_demand_interval_days",5.04949999999998,8.64095113855803,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"post_op_hold_mode",5.046,7.35692183915042,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2b_hold_mode",5.013,5.64465056491542,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"pri1_dcs_rate",4.9085,7.12675705020395,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"wia_spt_mean",4.89750000000002,7.12186586654459,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"wia_cbt_mean",4.66349999999998,6.29960606537799,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"dnbi_spt_mean",4.58349999999999,5.91947675052449,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"pri1_evac_prob",4.46749999999999,5.43947605352226,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"long_resus_mode",4.09050000000001,5.95064390589261,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2b_icu_share",4.007,9.21212250529876,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"disease_surgery_pct",3.89899999999999,6.21427211302631,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"pri2_dcs_rate",3.8655,5.895798035354,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"kia_cbt_mean",3.818,5.59060668960845,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"mc_p1_balance",3.785,6.0439381549659,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"pri2_evac_prob",3.7845,5.3589127677759,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r1_transport",3.76550000000001,5.43532526988714,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"pri3_other_surg_prob",3.75849999999999,6.64557809057231,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"pri2_surg_prob",3.72200000000001,4.80017609326115,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"surg_mode",3.706,4.45270101351859,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"dnbi_disease_balance",3.50650000000002,4.20979843873042,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r1_tccc_factor",3.42149999999999,7.41787561800617,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"mc_p2_p3_balance",2.89300000000001,6.96115076693502,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"pri3_dnbi_surg_prob",2.86649999999999,4.13488302513855,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"p1_p_max",2.79,4.74957516105664,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"mass_casualty_min_cas",2.78,3.43791690294849,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"p1_t_mid",2.583,3.39678857622593,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2b_forward_hold_max",2.49350000000001,4.83386330730238,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2e_resus_factor",1.39399999999999,4.10967331266634,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"p2_t_mid",1.1965,2.63084032002583,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"p2_p_max",1.0925,2.34904073366577,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"p1_k",0.799499999999983,2.29292016754548,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"fr_fulfillment_lag_days",0.759500000000012,1.26135380486708,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"p1_p_base",0.626500000000001,1.21069564605165,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2b_resus_factor",0.550499999999998,2.00917337021447,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"p2_k",0.337500000000005,0.813662771216165,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"pri3_dcs_rate",0.289500000000002,0.764725440926355,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2e_postop_hold_penalty",0.217000000000005,0.970453502234932,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2e_dcs2_factor",0.206499999999998,0.839777382781628,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"r2b_dcs_factor",0.128500000000003,0.366526727681985,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
"fr_fill_mode_frac",0.125499999999998,0.230205285960623,20,"role4_mean_occupancy","C2, C3, C5",28.9441666666667,20.47789995585,0,FALSE,""
