"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"evacuation_policy_days",119.9925,59.3762008742826,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"mass_casualty_rate",32.7375,50.647991270502,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"ame_schedule_interval_days",32.50125,46.0100941978182,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r2e_hold_mode",18.765,19.8891473977777,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"pri1_surg_prob",15.075,16.7052426375359,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"dnbi_cbt_mean",14.4975,16.8190123857371,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"ame_failure_probability",14.29125,15.9498648628989,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"surg_mode",13.245,18.9435728928671,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"triage_p2_p3_balance",12.76125,15.0358441797382,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"pri2_evac_prob",12.58875,15.119450863305,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r2b_hold_mode",12.3,17.4248676654342,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r2b_evac_threshold",11.9325,14.9385438415283,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"wia_cbt_mean",11.85375,18.0070919417147,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"dnbi_spt_mean",11.81625,16.8969817356922,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"dnbi_disease_balance",11.4525,15.389788779714,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"ot_hours",11.4525,15.6391418108203,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r2b_hold_threshold",11.4075,17.383736728091,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"post_definitive_icu_mode",11.2875,14.0979400790925,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"dnbi_bf_nbi_balance",11.1525,16.001730786321,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"wia_spt_mean",11.0475,14.039439513104,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"kia_spt_mean",10.94625,13.1116347363907,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"pri1_dcs_rate",10.605,13.5902814540391,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r1_transport",10.34,14.3904390774606,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r2e_critical_hold_mode",10.2225,15.6122187724871,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"kia_cbt_mean",10.065,14.1291572829492,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r1_recovery_mode",9.78,15.0577100376833,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"triage_p1_balance",9.5475,10.9065440881779,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"post_op_hold_mode",9.14625,11.107552773605,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"stabilisation_icu_mode",8.90625,10.723503069991,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"mass_casualty_kia_fraction",8.88875,15.2093727054111,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"pri2_surg_prob",8.715,12.6864982103851,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r2e_vent_share",8.5275,10.3535205682847,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"short_resus_mode",8.49,10.9150017479566,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r1_wia_treat_mode",7.85,10.371397916233,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r2b_pre_open_window",7.83,9.77076230662846,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"fr_demand_interval_days",7.83,10.8354243596009,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"mc_p2_p3_balance",7.77375,11.6175096836628,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"mass_casualty_min_cas",7.755,10.8919224053521,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"mass_casualty_max_cas",7.47,13.5479499323116,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"mc_p1_balance",7.36125,9.56155568092733,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"long_resus_mode",7.245,11.330595515543,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"r2b_icu_share",7.245,10.6400157053703,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
"pri1_evac_prob",6.80625,7.89669848984205,20,"role4_peak_occupancy","C2, C3, C5",68.7016772151899,45.294392896146,0,FALSE,""
