"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"pri1_evac_prob",0.110892136586814,0.0332848073071974,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"mass_casualty_rate",0.075526267785101,0.0507934443513448,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"triage_p1_balance",0.0605140907070595,0.0396235223071933,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"triage_p2_p3_balance",0.0496227496180638,0.0302097926329827,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"pri2_evac_prob",0.0412482879985971,0.0249207255376801,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"dnbi_bf_nbi_balance",0.0368541265783799,0.0239977376303268,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"dnbi_cbt_mean",0.0365854509859494,0.0233855660546232,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"dnbi_disease_balance",0.0315121403449887,0.020440233242596,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"kia_cbt_mean",0.0232742810866695,0.0284381779541915,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"long_resus_mode",0.0221677256238883,0.0259847983061286,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"pri2_dcs_rate",0.0215182742589828,0.0295725497041366,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"r2b_transport",0.020354597034731,0.0246898953815046,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"wia_spt_mean",0.0199180916457899,0.0254317826752102,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"surg_mode",0.0190157994011618,0.0234113256351474,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"fr_demand_interval_days",0.0187342257214773,0.0218848923492588,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"mc_p1_balance",0.018517594009729,0.0251955258096971,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"evacuation_policy_days",0.0184792983582555,0.0225993734372924,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"post_definitive_icu_mode",0.0178950262439308,0.0244492129403769,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"mass_casualty_min_cas",0.0175537534989408,0.0192210663603749,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"r2e_hold_mode",0.0175532085633598,0.0221636415622663,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"kia_spt_mean",0.0174350004340066,0.0182358955356363,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"r2b_hold_threshold",0.0174008730614784,0.0237813307959971,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"r1_wia_treat_mode",0.0173376995528838,0.024496108251137,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"mass_casualty_max_cas",0.0169701486960991,0.0210856232729639,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"ot_hours",0.0168269182902359,0.020328773668061,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"disease_surgery_pct",0.0165645717989752,0.018829564203992,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"dnbi_spt_mean",0.0165511498416,0.0195220670356984,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"r1_transport",0.0162834655255583,0.0200058400907502,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"stabilisation_icu_mode",0.0159488150829519,0.0214794972287652,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
"short_resus_mode",0.0159124996647029,0.0185051894744942,20,"rtd_rate_r1","C1, C2, C5",0.262648410658483,0.0656954922564813,0,FALSE,""
