"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",0.0451219885521839,0.016781183272022,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"r2b_hold_mode",0.023918212104991,0.0121345399201442,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"r2b_hold_threshold",0.017535534933766,0.0127707045466651,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"pri1_surg_prob",0.0123550322770524,0.0151896694573424,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"wia_cbt_mean",0.0097942451697529,0.0100089772736612,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"dnbi_disease_balance",0.00942543318123099,0.0122453115586849,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"fr_demand_interval_days",0.00941351839530303,0.0124772772296067,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"dnbi_bf_nbi_balance",0.00922699240780302,0.0107274419976872,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"long_resus_mode",0.00913549320235505,0.0133929133125395,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"r1_recovery_mode",0.00859693748075737,0.0123128417564427,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"r2b_pre_open_window",0.00786828001060283,0.0116449775263829,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"triage_p2_p3_balance",0.0078530629756623,0.0107663658640466,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"mass_casualty_max_cas",0.00779692811276231,0.00475420418665846,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"pri1_evac_prob",0.00766680742838632,0.00913498367767767,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"short_resus_mode",0.00757484233144742,0.0109827920192802,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"pri2_surg_prob",0.00752835243120934,0.00870653477097257,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"surg_mode",0.00749892936124832,0.0107247630612782,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
"disease_surgery_pct",0.00745869437251084,0.00957737534849053,20,"rtd_rate_r2b","C1, C2, C5",0.0617221780685556,0.0197731497919583,0,FALSE,""
