"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"r2e_hold_mode",0.0095090254484992,0.00487217564308997,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"mass_casualty_rate",0.00875369431015413,0.00513144583319967,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"evacuation_policy_days",0.00599488056074169,0.00803977265871886,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"wia_cbt_mean",0.00552522649871796,0.00639523237590324,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"pri1_evac_prob",0.00527184317344206,0.00625718761875543,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"dnbi_cbt_mean",0.0048515351295331,0.00590835731519129,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"triage_p1_balance",0.00481261004968535,0.0057869967616294,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2b_pre_open_window",0.00467010293379825,0.00712191652884327,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2b_hold_threshold",0.00466758681765573,0.00474088672807877,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"dnbi_bf_nbi_balance",0.00453089940020191,0.00563214141039158,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"dnbi_disease_balance",0.00446477798493229,0.00537564086360114,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"long_resus_mode",0.00438391505620367,0.00516679327110398,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"kia_cbt_mean",0.00433007277491477,0.0052788826367683,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"mass_casualty_max_cas",0.00429098471257865,0.00595600366185934,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"ame_schedule_interval_days",0.00413385269297824,0.00385929976587444,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r1_transport",0.00404131717360815,0.00477244604953742,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"triage_p2_p3_balance",0.00393355334273739,0.00615890928212178,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"ot_hours",0.00391896124358713,0.00513059746282965,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"fr_demand_interval_days",0.00390596265989833,0.00504729580722933,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"stabilisation_icu_mode",0.00387206834246077,0.0044547312879807,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"wia_spt_mean",0.00376196144661501,0.00448649416367453,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"pri1_surg_prob",0.00375484525092318,0.00473254958252651,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"short_resus_mode",0.00360385161252355,0.00452198042765362,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r1_wia_treat_mode",0.00351151349406827,0.00533039333536795,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"pri2_evac_prob",0.00347009441291828,0.00393864641204942,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"post_definitive_icu_mode",0.00329685004064629,0.00436689546163848,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"dnbi_spt_mean",0.00327337828697099,0.00427015898775269,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r1_recovery_mode",0.00320558883021348,0.00423633036886039,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2b_transport",0.00320351390949559,0.00435378447143651,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"pri2_dcs_rate",0.00303122197661797,0.00340295503521418,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"kia_spt_mean",0.00302597606925477,0.00354577197269576,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2b_hold_mode",0.00283912786552804,0.00353646270236432,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"mass_casualty_min_cas",0.00281543912398468,0.00360346409094806,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"disease_surgery_pct",0.0027678676709403,0.00335060783661418,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"pri2_surg_prob",0.0027487596068026,0.00314298703497616,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2b_icu_share",0.00254007791129216,0.00412002841850245,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"surg_mode",0.00252973111143899,0.00322358205907629,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"pri3_other_surg_prob",0.00248861708920083,0.0037617173807807,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2b_forward_hold_max",0.00243676225757048,0.00359790516848022,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"pri3_dnbi_surg_prob",0.00209331491750344,0.00369534295164962,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"post_op_hold_mode",0.00208659644459277,0.00258904178358356,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"pri1_dcs_rate",0.00204269325654479,0.00279022551722501,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"p1_p_max",0.00199108022541806,0.00296381221844599,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"mc_p1_balance",0.00192866303372876,0.00297789891506202,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"p1_t_mid",0.00183948752497725,0.00289197174362689,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"mc_p2_p3_balance",0.00123670633741278,0.00213647783705653,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r1_tccc_factor",0.000956173631227002,0.00150921869232544,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"ame_failure_probability",0.000814964067416323,0.00144493357930455,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"p2_p_max",0.000747308506867617,0.00119982420285833,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"fr_fulfillment_lag_days",0.000698588969599558,0.000930009532285155,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"pri3_dcs_rate",0.000480932173673139,0.00131340075879489,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"p1_k",0.000462323053013297,0.000906927633448414,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"p1_p_base",0.00045478048405202,0.0010007014497246,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"p2_t_mid",0.000386430879778617,0.000916676247169546,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"p2_k",0.000286442284639059,0.000778855859648036,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"fr_fill_mode_frac",0.000194498545367425,0.000382772410044277,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"p2_p_base",0.000185328405761445,0.000774796763461549,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2b_resus_factor",0.000123364725359034,0.000449406829609094,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2e_resus_factor",0.000106253527039567,0.000355655829016007,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2e_postop_hold_penalty",8.52815403748094e-05,0.000378741466363147,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2e_dcs2_factor",6.69543046607914e-05,0.000215677556443525,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2b_dcs_factor",3.3473780142972e-05,0.000130561425480918,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"p3_flat",0,0,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2e_dcs1_factor",0,0,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
"r2b_icu_penalty",0,0,20,"rtd_rate_r2e","C1, C2, C5",0.0119895082011596,0.00629227533747486,0,FALSE,""
