"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",17.8712595363624,12.325968242704,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"mass_casualty_max_cas",7.46617224555024,7.97284645616734,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"pri1_surg_prob",7.28032130843123,7.97693064229288,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"pri1_dcs_rate",6.19990897802128,6.34890307070708,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"mass_casualty_min_cas",5.22426742899938,6.44408605726892,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"evacuation_policy_days",4.45331924889631,5.29581245338156,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"pri1_evac_prob",4.45176684711524,5.15137198817625,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"pri2_evac_prob",4.24570936549603,5.8013460122088,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"post_op_hold_mode",4.12188079884181,5.45689803286235,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"ot_hours",3.97452438266666,4.54117389850253,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"wia_spt_mean",3.97229024289272,6.77033722095795,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"kia_spt_mean",3.85620544486201,6.16086995986176,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"triage_p1_balance",3.78570418765166,4.01169292500059,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"r1_recovery_mode",3.53811973356433,5.41302540269554,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"kia_cbt_mean",3.22099229073364,4.90096455283345,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"mc_p2_p3_balance",3.1803169595967,5.91455824251235,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"surg_mode",3.11180796717961,4.05187487036299,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"wia_cbt_mean",3.08506469585606,3.31171653485342,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"long_resus_mode",3.02202748167408,5.45395909348856,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"stabilisation_icu_mode",3.01212762588826,4.02895578424544,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"dnbi_bf_nbi_balance",2.97410024189964,4.63424722428581,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"short_resus_mode",2.90979577686074,4.2619506394759,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"dnbi_cbt_mean",2.85185883221304,4.53713025482747,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"triage_p2_p3_balance",2.8400652843137,3.91897841109071,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"fr_demand_interval_days",2.82549237502699,3.89245809128216,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"pri2_dcs_rate",2.81671951561703,3.45320509380123,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"r2b_transport",2.74316084854403,4.00239090210033,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"r2b_pre_open_window",2.72941495786195,4.04470402761479,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
"r1_wia_treat_mode",2.69371543912719,4.94714573609124,20,"system_ot_q","C3, C4",6.91829570218167,8.43498979483694,0,FALSE,""
