"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",3591.15339935654,1823.80338102595,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"r2b_hold_threshold",1862.73645601647,1278.73905371739,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"mass_casualty_max_cas",1440.76758018824,1457.57117757935,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"r2b_hold_mode",1370.74525412217,825.934677219177,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"pri2_evac_prob",1167.37867466689,1274.49322561841,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"triage_p1_balance",1077.7942880321,1239.35360311741,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"pri1_evac_prob",1057.54603587358,861.30392725037,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"wia_spt_mean",1031.95466207157,1194.89224273143,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"pri1_surg_prob",1000.09109896044,1025.23916683319,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"wia_cbt_mean",976.449783419829,1103.92844323148,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"pri1_dcs_rate",957.31832304813,1484.16745578372,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"r1_transport",920.665223535554,1202.66880898558,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"fr_demand_interval_days",916.631892348926,1309.28336013716,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"long_resus_mode",911.023718759555,1176.18582464479,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"kia_cbt_mean",908.355479665316,1286.63190395572,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"evacuation_policy_days",901.746440811216,1052.74373679408,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"surg_mode",884.236909170036,981.345612643754,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"r1_wia_treat_mode",865.194908349379,1303.72599575839,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"dnbi_cbt_mean",841.269756876171,1058.62005230489,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"mass_casualty_min_cas",789.981869852347,1042.69790937146,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"r2b_transport",788.568263784648,962.095622979163,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"r1_recovery_mode",788.117278271148,1069.48720620696,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"dnbi_bf_nbi_balance",783.626529659413,978.072650230236,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
"r2b_pre_open_window",780.188080652427,1000.94818914456,20,"time_to_surgery_mean","C1, C2, C3, C5",3889.524022855,1720.51104214422,0,FALSE,""
