"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",6739.54613902462,4235.67936211624,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"mass_casualty_max_cas",3519.84183235272,3765.8819561899,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"r2b_hold_mode",3324.75584363277,1817.16242516585,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"r2b_hold_threshold",3181.91451896736,3143.77678950861,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"pri2_evac_prob",3072.74194012222,3903.55085124625,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"fr_demand_interval_days",2956.71990024823,4642.86498995507,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"triage_p1_balance",2771.67433626618,3456.2384603225,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"wia_cbt_mean",2642.47023518457,3455.59923208571,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"pri1_dcs_rate",2467.7636407753,4413.22839963812,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"pri1_surg_prob",2442.09119068567,3115.88245466033,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"pri1_evac_prob",2334.33694872611,2219.23612195014,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"r1_wia_treat_mode",2309.46476578959,3699.95008366928,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"evacuation_policy_days",2307.54456368326,3055.81951461829,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"long_resus_mode",2306.15941901171,3685.91158739601,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"dnbi_cbt_mean",2178.15742911097,2826.72051051917,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"r2b_transport",2130.38088125248,3243.70426896756,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"kia_cbt_mean",2086.4675223637,2901.32889021105,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"r1_transport",2069.19553781169,2864.13558297858,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"r2b_pre_open_window",2011.57425281947,2638.73703314578,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"triage_p2_p3_balance",1990.54123897266,2749.63930198778,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"r2b_forward_hold_max",1933.4357804919,4315.36374121848,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"post_op_hold_mode",1915.22874279321,2495.31969507457,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"dnbi_bf_nbi_balance",1885.02558370442,2199.48698822467,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"wia_spt_mean",1879.75606498952,2498.52444414169,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"r1_recovery_mode",1837.61458386056,2506.73819687226,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"mass_casualty_min_cas",1816.37839515605,2353.60858361758,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"pri2_dcs_rate",1770.77405772598,2481.50622986967,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"mc_p2_p3_balance",1732.87950965014,2712.9415462004,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"ot_hours",1729.19909566149,1989.14024593025,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"surg_mode",1727.17505006401,2060.86135415565,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"dnbi_disease_balance",1705.38115165526,2587.21823779472,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"post_definitive_icu_mode",1645.47953812833,2106.49876974712,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"pri3_other_surg_prob",1631.62246493218,2453.64082048651,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"pri2_surg_prob",1618.33792962364,2219.19653573964,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"r2e_hold_mode",1566.71431508769,2324.07810437598,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
"stabilisation_icu_mode",1518.89374608441,1946.03436525945,20,"time_to_surgery_p90","C1, C2, C3, C5",9680.38943532597,3451.80345446197,0,FALSE,""
