"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",79.59375,45.6135597589311,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"pri1_evac_prob",72.075,38.0938375662825,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"dnbi_cbt_mean",61.40625,27.8888440663155,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"triage_p1_balance",44.2875,32.9389162533828,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"mass_casualty_max_cas",32.325,30.7975963475962,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"triage_p2_p3_balance",31.51875,26.5844878035353,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"wia_spt_mean",30.3,30.8330473552409,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"wia_cbt_mean",29.08125,26.5356102284716,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2b_hold_mode",27.31875,29.8016986391097,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"pri2_evac_prob",26.53125,25.0969919499172,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"dnbi_bf_nbi_balance",25.51875,25.7562995296399,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"ot_hours",24.825,29.7170455471709,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2b_pre_open_window",23.9625,35.9973477641427,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"dnbi_spt_mean",23.64375,24.5363008125877,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2e_hold_mode",23.5875,27.277873841555,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2b_transport",22.70625,27.2180001331839,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"fr_demand_interval_days",22.5,30.6532334947589,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r1_wia_treat_mode",21.525,28.8228938610667,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"pri1_dcs_rate",21.1875,30.4211150916769,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"ame_schedule_interval_days",19.9125,24.9918210305102,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"dnbi_disease_balance",19.59375,22.0710677415027,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"long_resus_mode",19.4625,22.6279585154947,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r1_recovery_mode",19.33125,24.5090770980339,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"kia_spt_mean",19.14375,25.0546073016416,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"pri2_dcs_rate",18.99375,23.2332096631094,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"mass_casualty_min_cas",18.3375,24.788815256928,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"pri1_surg_prob",18.16875,19.9195534638046,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"evacuation_policy_days",18.01875,22.9103614731184,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"post_definitive_icu_mode",17.8875,21.3566056587454,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"surg_mode",17.71875,20.6257087198808,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"stabilisation_icu_mode",16.05,20.1726960140107,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r1_transport",15.7875,19.8466779335989,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"disease_surgery_pct",15.3,18.7047084559223,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"pri2_surg_prob",14.85,17.7008446497841,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"kia_cbt_mean",14.75625,22.3877049712912,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"post_op_hold_mode",14.7,18.6568078797837,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2b_hold_threshold",14.55,18.4880784845974,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"p1_p_max",13.8375,19.4325503513536,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"pri3_other_surg_prob",13.6875,18.0638669579269,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"short_resus_mode",13.3875,18.7479867340189,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2b_forward_hold_max",13.06875,21.3891141074761,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"mc_p2_p3_balance",11.325,16.694871967164,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"mc_p1_balance",11.11875,15.9463675021353,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r1_tccc_factor",9.46875,11.8394742142991,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"pri3_dnbi_surg_prob",8.38125,12.2538175442551,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"fr_fulfillment_lag_days",7.125,10.2271166256029,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"p1_t_mid",6.99375,9.84027664285383,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2b_icu_share",6.80625,10.5904527355886,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"p2_p_max",6.525,10.8628107732178,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"p2_t_mid",3.95625,7.62456588496752,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"p1_p_base",3.16875,5.70700098102045,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"pri3_dcs_rate",3.075,6.88773939310776,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"ame_failure_probability",2.75625,5.22381864635441,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"fr_fill_mode_frac",1.95,3.66192626186935,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"p1_k",1.36875,2.99326958841788,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"p2_k",1.06875,2.71910728142432,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2b_resus_factor",1.03125,4.11309586148797,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2e_dcs2_factor",0.675,2.42387385680118,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2e_resus_factor",0.58125,2.52138061334826,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"p2_p_base",0.525,1.63413424688491,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2e_postop_hold_penalty",0.35625,1.5931984339686,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2b_dcs_factor",0.24375,1.00531073358073,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"p3_flat",0,0,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2e_dcs1_factor",0,0,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
"r2b_icu_penalty",0,0,20,"total_rtd","C2, C5",210.102651515152,55.1305473259673,0,FALSE,""
