"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",0.249957965423029,0.229237427764807,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"mass_casualty_max_cas",0.166068726599673,0.0946599146221986,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"long_resus_mode",0.104413535491988,0.221800996695633,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"pri2_evac_prob",0.0953614232217336,0.167041655585949,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"mass_casualty_min_cas",0.0884170341479273,0.083961975824686,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"pri1_evac_prob",0.0705052818089613,0.0963111639530894,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"r1_transport",0.0700926088583226,0.0779139339613818,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"kia_spt_mean",0.0655127029899081,0.112058641113518,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"surg_mode",0.0635239808395258,0.134204007367163,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"dnbi_spt_mean",0.0596735399479258,0.0999199111920421,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"kia_cbt_mean",0.0592098141416433,0.121954136188586,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"r1_wia_treat_mode",0.0586645308361784,0.111486942708119,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"triage_p2_p3_balance",0.0579555188797862,0.0821801876599108,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"pri3_other_surg_prob",0.057468473378549,0.121539303807153,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
"short_resus_mode",0.0562615166456376,0.0882276296837065,20,"transport_q","C3, C4",0.114043557958083,0.107811765384457,0,FALSE,""
