"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",0.0659411668868384,0.0767920016329768,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"r2e_critical_hold_mode",0.0371833885269171,0.060519493363134,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"disease_surgery_pct",0.0354268132081887,0.0579025850856962,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"pri1_dcs_rate",0.0338213355806946,0.053697969483339,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"post_op_hold_mode",0.0338210243702083,0.0585463754810374,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"kia_cbt_mean",0.0320164039810831,0.0491702322800106,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"r1_transport",0.0319001313587887,0.0302900148740302,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"r2e_vent_share",0.0303151983933863,0.0499339552504774,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"pri1_evac_prob",0.0297513871761777,0.0304003705622983,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"mass_casualty_max_cas",0.0293533837374759,0.0385903779869372,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"kia_spt_mean",0.0292800872436315,0.0413355781968914,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"r2b_pre_open_window",0.0292357046082756,0.0530396425465414,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"triage_p1_balance",0.0286943766759679,0.0456757233811557,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"wia_spt_mean",0.0282956287974515,0.0423998878045795,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"dnbi_bf_nbi_balance",0.02784197071361,0.0457994122079968,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"dnbi_cbt_mean",0.0271722890577424,0.0469242585197283,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
"short_resus_mode",0.0265533469224571,0.0476337193435411,20,"transport_util","C3, C4",0.13062946958491,0.0340249873591825,0,FALSE,""
