"i","dow_count","dow_rate_r1","dow_rate_r2b","dow_rate_r2e","dow_rate_r2e_postop","dow_rate_ame_wait","time_to_surgery_mean","time_to_surgery_p90","r2b_dwell_mean","r2b_r2e_transit_mean","r2e_dwell_mean","ot_util_r2b","ot_util_r2e","r2b_surgery_count","r2e_surgery_count","r2b_ot_q","r2e_ot_q","r2e_icu_q","transport_q","rtd_rate_r1","rtd_rate_r2b","rtd_rate_r2e","r2b_bypass_rate","total_rtd","role4_peak_occupancy","role4_mean_occupancy","ame_sortie_demand","ame_wait_critical_mean","ame_wait_standard_mean","ame_backlog_critical_mean","ame_backlog_critical_peak","ame_backlog_standard_mean","ame_backlog_standard_peak","ame_sorties_flown","system_ot_q","transport_util"
1,3.4,0,0.00583657587548638,0.000778210116731518,0,0,4288.91939857545,11534.898958485,5251.98454297035,25.2453146924888,6426.44013510534,0.0737856670342755,0.494370098674511,45.6,146.4,0,1.95375573062738,0.294799192589315,0.0799819788343384,0.243968871595331,0.0587548638132296,0.0256809338521401,0.140540540540541,168.8,53.4,30,25.4,1559.93009720101,872.826471808662,4.70326222022459,13.6,2.2826976090792,8.2,5.2,1.95375573062738,0.0979179474053886
2,3.8,0,0.00595029751487574,0.000700035001750087,0,0,4686.17475207032,11959.4893220273,5419.22254920142,25.0660474086383,6534.782239944,0.0722052260015837,0.51333684648154,44,152.6,0,2.10537341494021,0.254666767832865,0.094296957986762,0.24221211060553,0.0521526076303815,0.0231011550577529,0.161507402422611,181.4,54,30.9866666666667,25.4,1618.5647213158,1219.01362675385,4.68135260899144,12.6,3.55210366345207,11.8,6,2.10537341494021,0.105153395481848
3,3.2,0.000371057513914657,0.00445269016697588,0.00111317254174397,0,0,4707.94239361333,11325.4556444747,4814.81321781702,24.5875174926534,6881.73730637459,0.071769267285757,0.646560019451471,42.4,188.2,0,3.59836365186794,0.29277766290498,0.139137722933564,0.177365491651206,0.0578849721706865,0.0226345083487941,0.145714285714286,139,52.2,30.5,27.4,1258.42501555451,1556.66022673188,4.27979860171788,11.2,3.88976684443001,12.4,6,3.59836365186794,0.109845214908629
4,3.2,0.000371057513914657,0.00445269016697588,0.00111317254174397,0,0,4707.94239361333,11325.4556444747,4814.81321781702,24.5875174926534,6881.73730637459,0.071769267285757,0.646560019451471,42.4,188.2,0,3.59836365186794,0.29277766290498,0.139137722933564,0.177365491651206,0.0578849721706865,0.0226345083487941,0.145714285714286,139,52.2,30.5,27.4,1258.42501555451,1556.66022673188,4.27979860171788,11.2,3.88976684443001,12.4,6,3.59836365186794,0.109845214908629
5,4.2,0,0.00823045267489712,0,0.000411522633744856,0,4371.02817204734,10751.6903540625,5266.69541462744,24.4068226931227,5791.05779060016,0.0688660926615914,0.591890693987046,42.2,167.6,0,1.96257520520493,0.18422171654481,0.0974079555846703,0.170781893004115,0.0646090534979424,0.0263374485596708,0.137071651090343,127.2,70,36.2066666666667,27,1600.65405808014,1420.46784194842,3.86514943047509,13.6,2.51519545244079,12,5.4,1.96257520520493,0.100147811314322
6,4.2,0,0.00823045267489712,0,0.000411522633744856,0,4371.02817204734,10751.6903540625,5266.69541462744,24.4068226931227,5791.05779060016,0.0688660926615914,0.591890693987046,42.2,167.6,0,1.96257520520493,0.18422171654481,0.0974079555846703,0.170781893004115,0.0646090534979424,0.0263374485596708,0.137071651090343,127.2,70,36.2066666666667,27,1600.65405808014,1420.46784194842,3.86514943047509,13.6,2.51519545244079,12,5.4,1.96257520520493,0.100147811314322
7,2,0,0.00423370025402202,0,0,0,4003.83543464998,10387.1179447677,5082.93722299605,24.8533763512732,6592.42363884454,0.0686012449855254,0.535500105535806,41.8,159.4,0,1.50381437174481,0.236194300712778,0.102724085190485,0.175698560541914,0.0656223539373412,0.0283657917019475,0.18,127.4,49.4,28.1933333333333,25.8,2146.7218282646,2648.00586042818,4.78199557088087,13.2,4.10401547151498,12.2,5,1.50381437174481,0.0959432761396634
8,2.2,0,0.00485651214128035,0,0,0,4103.67652585002,10875.6132368953,5218.25102607559,25.5500433899029,5547.3101104241,0.0675321536527814,0.583379627233959,40.4,166,0,1.48467789971959,0.141967788079332,0.0875977290900861,0.177483443708609,0.0675496688741722,0.02560706401766,0.168641750227894,122.6,74,35.9866666666667,26.8,1723.23552404951,1804.50349154882,3.82353516610496,11.8,2.38317455071181,8,5.2,1.48467789971959,0.0950265452785187
9,4.8,0,0.00934943513829373,0,0,0,4684.73014082248,11397.6521202433,5460.44651872226,25.038617185136,6781.68753460731,0.0670979043408781,0.593693608426491,39.6,169.4,0,2.03041044827698,0.254326793988805,0.0902844289385313,0.179197506817296,0.0646669263731983,0.0276587456174523,0.195374800637959,139.4,51.2,28.6,25.6,2125.84194107922,2007.21423731338,4.82409987171851,14.4,4.5329766212186,12.4,5.6,2.03041044827698,0.104113205565196
10,4.6,0,0.00745473908413206,0.00070997515086972,0,0,5077.88435549624,11859.1028793195,5299.70663428384,24.8187537307978,6684.62008453242,0.0694551403480572,0.717777911513476,41,196.4,0,3.83047213965906,0.637153067866205,0.0894901671900681,0.18920837770678,0.060702875399361,0.0266240681576145,0.158602150537634,155.8,58,34.64,26.2,2129.60182063194,1910.93459012253,6.63422784493327,17.2,3.73111993431247,11.2,5.8,3.83047213965906,0.112827108597125
11,5.6,0,0.00901525658807212,0.000346740638002774,0.000346740638002774,0,6102.25020919436,13280.0264452464,5633.80989571505,24.9462453655039,7083.83558473178,0.0739617782883804,0.739314988639966,44.4,196.8,0,4.56268406979371,0.95969891083071,0.133582387280791,0.190360610263523,0.0561719833564494,0.0204576976421637,0.115769712140175,154,67.6,36.5866666666667,26.6,3044.72766025006,3069.62586056596,10.8517903724693,23,5.28910476772053,13.6,5.2,4.56268406979371,0.111985812038194
