"response","estimator","parameter","S1","S1_lower","S1_upper","ST","ST_lower","ST_upper","flag"
"r2e_ot_q","sobol2007","pri1_surg_prob",-0.0476502328306179,-0.209115583360799,0.0738187872610676,0.435425269636684,0.25647398848962,0.613865394577355,"S1<0"
"r2e_ot_q","sobol2007","mass_casualty_rate",0.408666009725007,-0.013934107073274,0.703093835694008,0.57298005070291,0.322564714726766,0.822533860351852,"ok"
"r2e_ot_q","sobol2007","mass_casualty_max_cas",0.108063662762337,-0.0766904301698668,0.249042728725771,0.104263397657859,-0.105837245489086,0.310755841338009,"S1>ST"
"r2e_ot_q","sobol2007","mass_casualty_min_cas",0.0552297786377855,-0.073547970504513,0.172541597618037,0.160051347572582,-0.000364760000588993,0.301278681490372,"ok"
"r2e_ot_q","sobol2007","pri1_dcs_rate",0.249888963390569,0.00538480961035342,0.434993718082105,-0.0339251538648824,-0.277782347108595,0.178841422025654,"S1>ST"
"r2e_ot_q","soboljansen","pri1_surg_prob",0.265693668095648,0.018769214541527,0.636096677995429,0.224794771128946,0.136543914841494,0.290440468698324,"S1>ST"
"r2e_ot_q","soboljansen","mass_casualty_rate",0.486060314160664,0.297613836248425,0.784162831347841,0.596810750130338,0.34146524560398,0.762533358485005,"ok"
"r2e_ot_q","soboljansen","mass_casualty_max_cas",0.108582170590206,-0.135934550615188,0.489522644571194,0.206898011487581,0.112011195520752,0.272418445856715,"ok"
"r2e_ot_q","soboljansen","mass_casualty_min_cas",0.184730566090154,-0.0479037220922582,0.531782106424816,0.133696278104144,0.0637756307547233,0.178979371407686,"S1>ST"
"r2e_ot_q","soboljansen","pri1_dcs_rate",0.0763152185551724,-0.160023666008634,0.409518433905974,0.242792597968692,0.131966742538828,0.323333901776438,"ok"
"r2e_ot_q","sobolmartinez","pri1_surg_prob",0.22908194364873,0.0592806736636666,0.398230171396932,0.237790981188807,0.141405388785803,0.313870584892356,"ok"
"r2e_ot_q","sobolmartinez","mass_casualty_rate",0.494759186966898,0.355617661342021,0.624594129693893,0.604089808233819,0.432625129026993,0.755674243206455,"ok"
"r2e_ot_q","sobolmartinez","mass_casualty_max_cas",0.187173055370368,0.0194524792866621,0.365089444235477,0.19173041408933,0.108208634878493,0.25094014119299,"ok"
"r2e_ot_q","sobolmartinez","mass_casualty_min_cas",0.20473807647575,0.0345648249748596,0.391795884016243,0.134459207435278,0.0709116971457107,0.179976022854513,"S1>ST"
"r2e_ot_q","sobolmartinez","pri1_dcs_rate",0.238138051269369,0.0625648453254308,0.431862503549456,0.19324732675679,0.104570208044241,0.254549706266763,"S1>ST"
"system_ot_q","sobol2007","pri1_surg_prob",-0.0476502328306179,-0.198242552362184,0.0735386178820752,0.435425269636684,0.262140918098653,0.610829158077205,"S1<0"
