"response","comparison","rank_a","rank_b","difference","lower","upper","se","p_a_gt_b","separated","within_unordered_group","n_for_separation"
"r2e_ot_q","mass_casualty_rate - pri1_surg_prob",1,2,0.137554781066226,-0.125973678877574,0.397775461373677,0.136266778191774,0.849,FALSE,FALSE,754
"r2e_ot_q","pri1_surg_prob - mass_casualty_min_cas",2,3,0.275373922064102,0.0541772494848175,0.489143035728446,0.110977596655572,0.991,TRUE,FALSE,NA
"r2e_ot_q","mass_casualty_min_cas - mass_casualty_max_cas",3,4,0.0557879499147227,-0.158114584112072,0.284304126455951,0.113090934646996,0.6915,FALSE,TRUE,3158
"r2e_ot_q","mass_casualty_max_cas - pri1_dcs_rate",4,5,0.138188551522742,-0.169698422919212,0.430756453351361,0.149172289490245,0.8375,FALSE,TRUE,896
"r2e_ot_q","mass_casualty_rate - zero",1,NA,0.57298005070291,0.327759939735176,0.811594113503898,0.12786564083339,0.9995,TRUE,FALSE,NA
"r2e_ot_q","pri1_surg_prob - zero",2,NA,0.435425269636684,0.255971967550297,0.613610056486098,0.0918134068738405,1,TRUE,FALSE,NA
"r2e_ot_q","mass_casualty_min_cas - zero",3,NA,0.160051347572582,0.0162932037421331,0.306797548516575,0.0746756474360046,0.983,TRUE,FALSE,NA
"r2e_ot_q","mass_casualty_max_cas - zero",4,NA,0.104263397657859,-0.0992495509071032,0.31569984569628,0.107850927050457,0.8335,FALSE,FALSE,NA
"r2e_ot_q","pri1_dcs_rate - zero",5,NA,-0.0339251538648824,-0.252962170220655,0.194448886723483,0.112178005531961,0.35,FALSE,FALSE,NA
"system_ot_q","mass_casualty_rate - pri1_surg_prob",1,2,0.137554781066226,-0.138016248472691,0.417827464576578,0.140868921780397,0.849,FALSE,FALSE,806
"system_ot_q","pri1_surg_prob - mass_casualty_min_cas",2,3,0.275373922064102,0.0615430071324462,0.492725123286582,0.111659800619539,0.992,TRUE,FALSE,NA
"system_ot_q","mass_casualty_min_cas - mass_casualty_max_cas",3,4,0.0557879499147227,-0.154505128449439,0.268731627044481,0.107921880773857,0.6995,FALSE,TRUE,2876
"system_ot_q","mass_casualty_max_cas - pri1_dcs_rate",4,5,0.138188551522742,-0.160521925333036,0.416101542408535,0.146148583720163,0.829,FALSE,TRUE,860
"system_ot_q","mass_casualty_rate - zero",1,NA,0.57298005070291,0.312270111057615,0.818294622133689,0.127188779112229,1,TRUE,FALSE,NA
"system_ot_q","pri1_surg_prob - zero",2,NA,0.435425269636684,0.264482443712255,0.617596316210799,0.0916391501433255,1,TRUE,FALSE,NA
"system_ot_q","mass_casualty_min_cas - zero",3,NA,0.160051347572582,0.0193476241221114,0.317420833895843,0.0747883967233792,0.986,TRUE,FALSE,NA
"system_ot_q","mass_casualty_max_cas - zero",4,NA,0.104263397657859,-0.095463664769668,0.315732241228814,0.104205841740115,0.8395,FALSE,FALSE,NA
