"stage","replication","day","n_decisions","daily_rate","cumulative_rate","intensity"
"Stabilisation",1,1,3,0,0,"Moderate intensity"
"Stabilisation",1,2,0,NA,0,"Moderate intensity"
"Stabilisation",1,3,3,0.333333333333333,0.166666666666667,"Moderate intensity"
"Stabilisation",1,4,0,NA,0.166666666666667,"Moderate intensity"
"Stabilisation",1,5,2,0,0.125,"Moderate intensity"
"Stabilisation",1,6,3,0.333333333333333,0.181818181818182,"Moderate intensity"
"Stabilisation",1,7,3,0,0.142857142857143,"Moderate intensity"
"Stabilisation",1,8,1,1,0.2,"Moderate intensity"
"Stabilisation",1,9,5,0.6,0.3,"Moderate intensity"
"Stabilisation",1,10,3,0.666666666666667,0.347826086956522,"Moderate intensity"
"Stabilisation",1,11,3,0.666666666666667,0.384615384615385,"Moderate intensity"
"Stabilisation",1,12,3,0.333333333333333,0.379310344827586,"Moderate intensity"
"Stabilisation",1,13,6,0.5,0.4,"Moderate intensity"
"Stabilisation",1,14,4,0.25,0.384615384615385,"Moderate intensity"
"Stabilisation",1,15,0,NA,0.384615384615385,"Moderate intensity"
"Stabilisation",1,16,1,0,0.375,"Moderate intensity"
"Stabilisation",1,17,2,0,0.357142857142857,"Moderate intensity"
"Stabilisation",1,18,4,0.25,0.347826086956522,"Moderate intensity"
"Stabilisation",1,19,3,1,0.387755102040816,"Moderate intensity"
"Stabilisation",1,20,0,NA,0.387755102040816,"Moderate intensity"
"Stabilisation",1,21,7,0.428571428571429,0.392857142857143,"Moderate intensity"
"Stabilisation",1,22,2,0,0.379310344827586,"Moderate intensity"
"Stabilisation",1,23,2,0.5,0.383333333333333,"Moderate intensity"
"Stabilisation",1,24,4,0.75,0.40625,"Moderate intensity"
"Stabilisation",1,25,3,0,0.388059701492537,"Moderate intensity"
"Stabilisation",1,26,0,NA,0.388059701492537,"Moderate intensity"
"Stabilisation",1,27,1,0,0.382352941176471,"Moderate intensity"
"Stabilisation",1,28,2,0,0.371428571428571,"Moderate intensity"
"Stabilisation",1,29,2,1,0.388888888888889,"Moderate intensity"
"Stabilisation",1,30,4,0.5,0.394736842105263,"Moderate intensity"
"Stabilisation",2,1,2,0,0,"Moderate intensity"
"Stabilisation",2,2,2,0.5,0.25,"Moderate intensity"
"Stabilisation",2,3,1,0,0.2,"Moderate intensity"
"Stabilisation",2,4,5,0.4,0.3,"Moderate intensity"
"Stabilisation",2,5,3,0.666666666666667,0.384615384615385,"Moderate intensity"
"Stabilisation",2,6,0,NA,0.384615384615385,"Moderate intensity"
"Stabilisation",2,7,1,0,0.357142857142857,"Moderate intensity"
"Stabilisation",2,8,4,0.5,0.388888888888889,"Moderate intensity"
"Stabilisation",2,9,1,1,0.421052631578947,"Moderate intensity"
"Stabilisation",2,10,4,0.5,0.434782608695652,"Moderate intensity"
"Stabilisation",2,11,5,1,0.535714285714286,"Moderate intensity"
"Stabilisation",2,12,2,0,0.5,"Moderate intensity"
"Stabilisation",2,13,2,0.5,0.5,"Moderate intensity"
"Stabilisation",2,14,2,0.5,0.5,"Moderate intensity"
"Stabilisation",2,15,0,NA,0.5,"Moderate intensity"
"Stabilisation",2,16,3,0,0.459459459459459,"Moderate intensity"
"Stabilisation",2,17,6,0.333333333333333,0.441860465116279,"Moderate intensity"
"Stabilisation",2,18,6,0.666666666666667,0.469387755102041,"Moderate intensity"
"Stabilisation",2,19,4,0.5,0.471698113207547,"Moderate intensity"
"Stabilisation",2,20,8,0.5,0.475409836065574,"Moderate intensity"
"Stabilisation",2,21,9,0.333333333333333,0.457142857142857,"Moderate intensity"
"Stabilisation",2,22,6,1,0.5,"Moderate intensity"
"Stabilisation",2,23,5,1,0.530864197530864,"Moderate intensity"
"Stabilisation",2,24,3,1,0.547619047619048,"Moderate intensity"
"Stabilisation",2,25,4,0.5,0.545454545454545,"Moderate intensity"
"Stabilisation",2,26,5,0.6,0.548387096774194,"Moderate intensity"
"Stabilisation",2,27,3,0.333333333333333,0.541666666666667,"Moderate intensity"
"Stabilisation",2,28,4,0.75,0.55,"Moderate intensity"
"Stabilisation",2,29,1,1,0.554455445544555,"Moderate intensity"
"Stabilisation",2,30,6,0,0.523364485981308,"Moderate intensity"
"Stabilisation",3,1,6,0.5,0.5,"Moderate intensity"
"Stabilisation",3,2,4,0.25,0.4,"Moderate intensity"
"Stabilisation",3,3,2,0.5,0.416666666666667,"Moderate intensity"
"Stabilisation",3,4,0,NA,0.416666666666667,"Moderate intensity"
"Stabilisation",3,5,1,0,0.384615384615385,"Moderate intensity"
"Stabilisation",3,6,2,0,0.333333333333333,"Moderate intensity"
"Stabilisation",3,7,0,NA,0.333333333333333,"Moderate intensity"
"Stabilisation",3,8,3,0,0.277777777777778,"Moderate intensity"
"Stabilisation",3,9,5,0,0.217391304347826,"Moderate intensity"
"Stabilisation",3,10,3,0,0.192307692307692,"Moderate intensity"
"Stabilisation",3,11,2,0.5,0.214285714285714,"Moderate intensity"
"Stabilisation",3,12,4,0.5,0.25,"Moderate intensity"
"Stabilisation",3,13,5,1,0.351351351351351,"Moderate intensity"
"Stabilisation",3,14,1,1,0.368421052631579,"Moderate intensity"
"Stabilisation",3,15,10,0.7,0.4375,"Moderate intensity"
"Stabilisation",3,16,9,0.444444444444444,0.43859649122807,"Moderate intensity"
"Stabilisation",3,17,3,1,0.466666666666667,"Moderate intensity"
"Stabilisation",3,18,6,0.833333333333333,0.5,"Moderate intensity"
