276.693: wia_cbt0: wia_cbt0
339.622: wia_cbt1: wia_cbt1
340.509: dnbi_cbt0: dnbi_cbt0
375.607: dnbi_cbt1: dnbi_cbt1
442.275: wia_cbt2: wia_cbt2
461.023: wia_cbt3: wia_cbt3
464.816: wia_cbt4: wia_cbt4
610.793: wia_cbt5: wia_cbt5
641.201: wia_cbt6: wia_cbt6
681.409: dnbi_cbt2: dnbi_cbt2
868.604: dnbi_cbt3: dnbi_cbt3
938.4: wia_cbt7: wia_cbt7
1043.66: wia_cbt8: wia_cbt8
1178: dnbi_spt0: dnbi_spt0
1246.69: wia_cbt9: wia_cbt9
1273.74: wia_cbt10: wia_cbt10
1293.73: wia_cbt11: wia_cbt11
1410.72: wia_cbt12: wia_cbt12
1431.78: wia_cbt13: wia_cbt13
1467.08: dnbi_cbt4: dnbi_cbt4
1559.04: wia_cbt14: wia_cbt14
1587.92: dnbi_cbt5: dnbi_cbt5
1776.95: wia_cbt15: wia_cbt15
1843.06: wia_cbt16: wia_cbt16
2709.62: kia_spt0: kia_spt0
2984.43: dnbi_cbt6: dnbi_cbt6
2997.26: dnbi_cbt7: dnbi_cbt7
3019.31: dnbi_cbt8: dnbi_cbt8
3074.68: kia_spt1: kia_spt1
3203.01: dnbi_cbt9: dnbi_cbt9
3258.37: dnbi_spt1: dnbi_spt1
3344.75: dnbi_cbt10: dnbi_cbt10
3351.45: dnbi_cbt11: dnbi_cbt11
3378.95: dnbi_cbt12: dnbi_cbt12
3403.48: dnbi_cbt13: dnbi_cbt13
3412.47: dnbi_cbt14: dnbi_cbt14
3442.24: dnbi_cbt15: dnbi_cbt15
3510.56: kia_cbt0: kia_cbt0
3541.32: kia_cbt1: kia_cbt1
3600.58: dnbi_cbt16: dnbi_cbt16
3631.48: wia_spt0: wia_spt0
3719.24: dnbi_cbt17: dnbi_cbt17
3732.87: dnbi_cbt18: dnbi_cbt18
3748.82: dnbi_cbt19: dnbi_cbt19
3803.06: dnbi_cbt20: dnbi_cbt20
3809.37: wia_spt1: wia_spt1
3827.78: wia_spt2: wia_spt2
3835.07: dnbi_spt2: dnbi_spt2
3850.57: dnbi_cbt21: dnbi_cbt21
3925.67: kia_cbt2: kia_cbt2
3930.24: dnbi_cbt22: dnbi_cbt22
3957.86: dnbi_cbt23: dnbi_cbt23
