"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",14.30625,10.9697157132237,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"evacuation_policy_days",13.70625,8.38108331695787,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"ame_schedule_interval_days",11.34375,9.17581157675468,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"pri1_dcs_rate",7.63125,8.06809781191525,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"triage_p1_balance",7.44375,6.04972201949461,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"pri1_evac_prob",6.225,7.39725678172232,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"wia_cbt_mean",6.16875,6.54047054379198,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"triage_p2_p3_balance",6.05625,7.03296689564675,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"ot_hours",5.8125,8.37651203946896,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"fr_demand_interval_days",5.71875,8.19190821465722,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"wia_spt_mean",5.68125,6.34214638144565,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"r2b_pre_open_window",5.60625,6.62770240315125,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"pri1_surg_prob",5.53125,6.90274008808707,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"r2b_transport",5.4375,7.34030644348112,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"kia_cbt_mean",5.175,7.05988249119443,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
"r1_wia_treat_mode",5.1375,6.3460254863721,20,"ame_backlog_critical_peak","C3, C4, C5",20.0482954545455,8.25517544673556,0,FALSE,""
