"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"evacuation_policy_days",9.41385299588541,11.9413081965981,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"mass_casualty_rate",8.46664066289369,8.31829826103407,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"ame_schedule_interval_days",8.13519859413077,11.1159125876102,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"pri1_surg_prob",6.76957422334907,7.16054280725935,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"r2b_pre_open_window",6.59169775888098,9.11519900646341,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"stabilisation_icu_mode",5.44215985721561,7.84349650427478,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"triage_p2_p3_balance",4.70081056597137,7.14752814263393,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"dnbi_cbt_mean",4.49505202935214,5.08487195492933,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"dnbi_bf_nbi_balance",4.4361039592558,8.45925294627702,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"dnbi_disease_balance",4.40787530749595,5.21357643367115,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"pri1_evac_prob",4.34389348780193,6.99836993110689,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"wia_spt_mean",4.25562159168538,5.57442341726852,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"ot_hours",3.8620496694754,5.50376595622183,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"post_definitive_icu_mode",3.78024180098388,5.49779080933966,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"wia_cbt_mean",3.75632254552292,6.00779210350221,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"fr_demand_interval_days",3.66952316096115,5.70679961567209,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"r2b_transport",3.62438109525897,4.70874926881942,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"r1_recovery_mode",3.45463508561971,5.20237213112625,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"dnbi_spt_mean",3.40946511598816,6.5253074402314,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"r1_transport",3.40361333011603,4.85473006419516,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"mass_casualty_min_cas",3.37793845201102,4.83852639812446,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"r2b_hold_threshold",3.35778413884994,4.9905796497062,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"pri1_dcs_rate",3.30218653585546,4.70447714134552,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"kia_cbt_mean",3.12696660570107,5.61862017545289,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"r1_wia_treat_mode",2.9902811522623,3.84538854129982,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"mass_casualty_max_cas",2.95506124207851,4.07681774359631,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"kia_spt_mean",2.85905932245132,4.17580569342338,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"r2e_hold_mode",2.80145640022802,3.77575363012175,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
"pri2_surg_prob",2.75390222416239,3.69826522295187,20,"ame_backlog_standard_mean","C3, C4, C5",7.57919232328207,7.21985842427767,0,FALSE,""
