"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"fr_demand_interval_days",0.00102682982499573,0.00122172319428532,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"surg_mode",0.00100997668698288,0.0013088581338332,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"pri1_evac_prob",0.000957762185098009,0.00127092911727731,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"r2b_hold_threshold",0.000911683197890573,0.00129437712193654,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"dnbi_cbt_mean",0.000880104018281142,0.000994129801332381,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"pri2_surg_prob",0.000867600368914803,0.00117221848885591,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"post_op_hold_mode",0.000845426931724953,0.00121490434604813,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"long_resus_mode",0.000842674944928627,0.00116084463639415,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"ame_schedule_interval_days",0.000833995177788926,0.00122386778627902,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"mass_casualty_max_cas",0.000818314024679577,0.00108443931560791,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"pri2_evac_prob",0.000811183461884606,0.00114442168006279,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"mass_casualty_rate",0.000794266366141537,0.00111973019301915,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"disease_surgery_pct",0.000793841382476471,0.00106127948865609,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"kia_cbt_mean",0.000783274483709163,0.000990655493363605,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"dnbi_spt_mean",0.000766670154568603,0.00103123133331302,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"pri1_surg_prob",0.000765495020773487,0.000804357310176165,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"triage_p1_balance",0.000763525831725608,0.00106400713679454,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"r2b_transport",0.000747094659017699,0.00118204552894266,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"r2b_pre_open_window",0.000738213631206064,0.000977350330033366,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"pri2_dcs_rate",0.000725629425791886,0.00103429676993217,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"dnbi_bf_nbi_balance",0.000705870447487698,0.00100327873884178,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"r1_transport",0.000703998084495785,0.00115278434827357,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"r1_wia_treat_mode",0.000688809535243654,0.000935299054397636,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"mass_casualty_min_cas",0.000687480215070971,0.00103581820307757,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"pri1_dcs_rate",0.000684776436191659,0.00107132171666724,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"evacuation_policy_days",0.000683671352494317,0.00106688748692098,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"p1_p_max",0.000672777148545615,0.000635178219938445,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"wia_cbt_mean",0.000664449165551151,0.000965624614669624,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"p1_t_mid",0.000644530766642814,0.000841013561487912,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"r2e_hold_mode",0.000629503524155572,0.000838144899070304,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"mc_p1_balance",0.000625462482359361,0.000877932856598557,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
"ot_hours",0.000623672802498922,0.000857177457537403,20,"dow_rate_r2e","C1, C2, C3, C5",0.00056842265291554,0.000628968700900936,0,FALSE,""
